"Jour";"Date";"Adulte - Consultation de suivi";"Adulte - Premiere consultation ";"Detartrage";"Enfant - Premiere consultation dentaire ";"Pose de prothese dentaire (couronne)";"Enfant - Consultation de suivi ";"Bilan bucco-dentaire";"Extraction dentaire";"Endodontie";"Taille et empreinte";"Parodontie";"Adulte - 1ere consultation d'orthodontie (a ete supprime)";"Enfant - 1ere consultation d'orthodontie (a ete supprime)";"Pose d'implant dentaire";"Adule Premiere consultation";"Enfant Premiere consultation";"Suivi du traitement  (a ete supprime)";"Non renseigne";"Pose / Collage Long ";"Empreinte";"Empreinte alignement (Invisalign)";"Pose / Collage Court ";"Suivi traitement"
lundi;2018-10-15;"5";"10";"2";"0";"0";"0";"1";"0";"0";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
mardi;2018-10-16;"0";"8";"2";"0";"3";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
mercredi;2018-10-17;"0";"5";"3";"1";"0";"1";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
jeudi;2018-10-18;"2";"7";"0";"0";"3";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
vendredi;2018-10-19;"4";"6";"1";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
lundi;2018-10-22;"2";"9";"3";"1";"1";"0";"1";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
mardi;2018-10-23;"1";"6";"2";"2";"1";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
mercredi;2018-10-24;"3";"4";"3";"3";"0";"1";"1";"0";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
jeudi;2018-10-25;"1";"7";"2";"0";"3";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
vendredi;2018-10-26;"0";"5";"3";"2";"0";"0";"1";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
lundi;2018-10-29;"2";"8";"4";"0";"2";"0";"1";"0";"0";"1";"0";"2";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
mardi;2018-10-30;"0";"4";"1";"1";"3";"0";"0";"0";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
mercredi;2018-10-31;"3";"3";"1";"0";"3";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
lundi;2018-11-05;"0";"2";"2";"0";"2";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
mardi;2018-11-06;"3";"6";"0";"2";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
mercredi;2018-11-07;"2";"17";"2";"0";"5";"0";"1";"0";"0";"3";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
jeudi;2018-11-08;"2";"7";"1";"0";"3";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
vendredi;2018-11-09;"0";"6";"3";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
lundi;2018-11-12;"0";"8";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"4";"3";"2";"2";"0";"0";"0";"0";"0"
mardi;2018-11-13;"1";"16";"0";"1";"2";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
mercredi;2018-11-14;"3";"14";"0";"2";"8";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
jeudi;2018-11-15;"2";"9";"2";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
vendredi;2018-11-16;"4";"8";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
lundi;2018-11-19;"2";"10";"1";"0";"2";"0";"0";"0";"0";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
mardi;2018-11-20;"2";"12";"1";"1";"1";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
mercredi;2018-11-21;"3";"13";"0";"3";"4";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
jeudi;2018-11-22;"0";"4";"1";"1";"4";"0";"0";"0";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
vendredi;2018-11-23;"2";"7";"1";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
lundi;2018-11-26;"0";"6";"0";"0";"1";"0";"0";"1";"0";"4";"0";"0";"2";"0";"7";"8";"0";"0";"1";"0";"0";"0";"0"
mardi;2018-11-27;"2";"6";"0";"0";"1";"0";"0";"1";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
mercredi;2018-11-28;"0";"5";"1";"0";"0";"0";"0";"2";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
jeudi;2018-11-29;"1";"6";"0";"1";"3";"0";"0";"0";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
vendredi;2018-11-30;"0";"7";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
lundi;2018-12-03;"1";"3";"0";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
mardi;2018-12-04;"1";"19";"3";"2";"4";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
mercredi;2018-12-05;"5";"12";"1";"2";"4";"0";"1";"1";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
jeudi;2018-12-06;"1";"5";"0";"0";"5";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
vendredi;2018-12-07;"1";"4";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
lundi;2018-12-10;"3";"8";"4";"1";"1";"0";"0";"1";"0";"3";"0";"0";"0";"0";"9";"12";"0";"0";"0";"0";"0";"0";"0"
mardi;2018-12-11;"1";"20";"2";"3";"4";"0";"0";"0";"0";"2";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0"
mercredi;2018-12-12;"4";"7";"2";"4";"4";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
jeudi;2018-12-13;"0";"1";"0";"1";"5";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
vendredi;2018-12-14;"1";"4";"1";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
lundi;2018-12-17;"3";"15";"2";"1";"5";"0";"0";"2";"0";"6";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
mardi;2018-12-18;"3";"22";"7";"1";"1";"0";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
mercredi;2018-12-19;"0";"11";"4";"6";"2";"0";"0";"2";"1";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
jeudi;2018-12-20;"3";"19";"2";"0";"4";"0";"0";"1";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
vendredi;2018-12-21;"1";"0";"0";"0";"3";"0";"0";"1";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
lundi;2018-12-24;"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"8";"0";"0";"1";"3";"1";"1";"2"
mercredi;2018-12-26;"1";"9";"1";"3";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
jeudi;2018-12-27;"2";"7";"0";"0";"6";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
vendredi;2018-12-28;"0";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
