,Symb.,Name,Sector,Period,Begin.,End,Pnl $,Pnl %,Gross Profit,Gross Loss,# Winners,# Loosers,% Winners,MaxDD $,MaxDD %,Aver. Win $,Aver. Loos $,Aver. Duration,Total Trades,% Long,% Short,Profit Factor
10,AES,AES Corp,Utilities,234 days 00:00:00.000000000,2018-12-17,2019-08-08,146.64,1.46,1497.01,-1350.37,3.0,1.0,75.0,-603.0,-6.01,499.0,-1350.0,10 days 12:00:00.000000000,4,25.0,75.0,1.11
11,AMG,Affiliated Managers Group Inc,Financials,234 days 00:00:00.000000000,2018-12-17,2019-08-08,3006.14,51.28,3921.49,-915.35,22.0,8.0,73.33,-371.49,-6.34,178.0,-114.0,5 days 19:12:00.000000000,30,50.0,50.0,4.28
12,AFL,AFLAC Inc,Financials,234 days 00:00:00.000000000,2018-12-17,2019-08-08,796.69,5.07,2754.76,-1958.07,12.0,11.0,52.17,-1381.05,-8.78,230.0,-178.0,5 days 04:10:26.086956521,23,17.39,82.61,1.41
13,A,Agilent Technologies Inc,Health Care,234 days 00:00:00.000000000,2018-12-17,2019-08-08,4908.46,66.98,5353.41,-444.95,26.0,6.0,81.25,-590.64,-8.06,206.0,-74.0,5 days 00:00:00.000000000,32,62.5,37.5,12.03
14,APD,Air Products & Chemicals Inc,Materials,234 days 00:00:00.000000000,2018-12-17,2019-08-08,4779.77,38.93,5832.21,-1052.44,20.0,9.0,68.97,-380.76,-3.1,292.0,-117.0,5 days 00:00:00.000000000,29,48.28,51.72,5.54
15,AKAM,Akamai Technologies Inc,Information Technology,234 days 00:00:00.000000000,2018-12-17,2019-08-08,13441.35,57.17,16408.27,-2966.92,20.0,7.0,74.07,-1902.12,-8.09,820.0,-424.0,5 days 13:20:00.000000000,27,33.33,66.67,5.53
16,ALK,Alaska Air Group Inc,Industrials,234 days 00:00:00.000000000,2018-12-17,2019-08-08,6692.79,63.72,7237.91,-545.12,30.0,10.0,75.0,-1218.0,-11.6,241.0,-55.0,3 days 14:24:00.000000000,40,30.0,70.0,13.28
17,ALB,Albemarle Corp,Materials,234 days 00:00:00.000000000,2018-12-17,2019-08-08,5807.62,82.01,6874.69,-1067.07,15.0,5.0,75.0,-793.26,-11.2,458.0,-213.0,9 days 10:48:00.000000000,20,40.0,60.0,6.44
18,ARE,Alexandria Real Estate Equities Inc,Real Estate,234 days 00:00:00.000000000,2018-12-17,2019-08-08,2763.77,22.9,4167.41,-1403.64,12.0,8.0,60.0,-644.28,-5.34,347.0,-175.0,9 days 01:12:00.000000000,20,15.0,85.0,2.97
19,ALXN,Alexion Pharmaceuticals,Health Care,234 days 00:00:00.000000000,2018-12-17,2019-08-08,2980.18,53.34,5090.24,-2110.06,23.0,3.0,88.46,-1105.86,-19.79,221.0,-703.0,6 days 07:23:04.615384615,26,19.23,80.77,2.41
20,ALGN,Align Technology,Health Care,234 days 00:00:00.000000000,2018-12-17,2019-08-08,2094.12,42.64,4458.26,-2364.14,12.0,7.0,63.16,-360.74,-7.35,372.0,-338.0,7 days 02:31:34.736842105,19,84.21,15.79,1.89
21,ALLE,Allegion,Industrials,234 days 00:00:00.000000000,2018-12-17,2019-08-08,4434.49,52.09,5025.57,-591.08,24.0,7.0,77.42,-648.42,-7.62,209.0,-84.0,5 days 03:52:15.483870967,31,25.81,74.19,8.5
22,AGN,"Allergan, Plc",Health Care,234 days 00:00:00.000000000,2018-12-17,2019-08-08,402.09,6.91,2030.6,-1628.51,3.0,2.0,60.0,-1101.75,-18.92,677.0,-814.0,40 days 00:00:00.000000000,5,20.0,80.0,1.25
23,ADS,Alliance Data Systems,Information Technology,234 days 00:00:00.000000000,2018-12-17,2019-08-08,2024.74,36.25,3310.36,-1285.62,10.0,8.0,55.56,-311.98,-5.59,331.0,-161.0,10 days 14:40:00.000000000,18,100.0,0.0,2.57
24,LNT,Alliant Energy Corp,Utilities,234 days 00:00:00.000000000,2018-12-17,2019-08-08,6571.84,19.74,9679.35,-3107.51,17.0,5.0,77.27,-2158.4,-6.48,569.0,-622.0,7 days 13:05:27.272727272,22,40.91,59.09,3.11
25,ALL,Allstate Corp,Financials,234 days 00:00:00.000000000,2018-12-17,2019-08-08,4133.99,34.48,4672.6,-538.61,11.0,2.0,84.62,-261.66,-2.18,425.0,-269.0,13 days 20:18:27.692307692,13,100.0,0.0,8.68
26,GOOGL,Alphabet Inc Class A,Information Technology,234 days 00:00:00.000000000,2018-12-17,2019-08-08,-1219.44,-12.89,0.0,-1219.44,0.0001,1.0,0.01,-447.12,-4.73,0.0,-1219.0,0 days 00:00:00.000000000,1,0.0,100.0,0.0
27,GOOG,Alphabet Inc Class C,Information Technology,234 days 00:00:00.000000000,2018-12-17,2019-08-08,-1253.92,-13.11,0.0,-1253.92,0.0001,1.0,0.01,-469.71,-4.91,0.0,-1254.0,0 days 00:00:00.000000000,1,0.0,100.0,0.0
28,MO,Altria Group Inc,Consumer Staples,234 days 00:00:00.000000000,2018-12-17,2019-08-08,-3034.25,-10.52,4043.54,-7077.79,6.0,7.0,46.15,-4760.64,-16.51,674.0,-1011.0,16 days 01:50:46.153846153,13,53.85,46.15,0.57
29,AMZN,Amazon.com Inc.,Consumer Discretionary,234 days 00:00:00.000000000,2018-12-17,2019-08-08,1698.8,28.46,2254.43,-555.63,7.0,1.0,87.5,-776.0,-13.0,322.0,-556.0,23 days 21:00:00.000000000,8,100.0,0.0,4.06
30,AEE,Ameren Corp,Utilities,234 days 00:00:00.000000000,2018-12-17,2019-08-08,7708.98,18.35,9577.23,-1868.25,16.0,7.0,69.57,-1357.05,-3.23,599.0,-267.0,7 days 08:20:52.173913043,23,82.61,17.39,5.13
31,AAL,American Airlines Group,Industrials,234 days 00:00:00.000000000,2018-12-17,2019-08-08,766.96,13.36,2710.39,-1943.43,7.0,10.0,41.18,-862.96,-15.03,387.0,-194.0,11 days 07:03:31.764705882,17,88.24,11.76,1.39
32,AEP,American Electric Power,Utilities,234 days 00:00:00.000000000,2018-12-17,2019-08-08,26562.37,34.88,29520.49,-2958.12,16.0,5.0,76.19,-2452.8,-3.22,1845.0,-592.0,8 days 05:42:51.428571428,21,66.67,33.33,9.98
33,AXP,American Express Co,Financials,234 days 00:00:00.000000000,2018-12-17,2019-08-08,2590.9,26.28,3197.09,-606.19,8.0,4.0,66.67,-724.17,-7.34,400.0,-152.0,12 days 22:00:00.000000000,12,83.33,16.67,5.27
34,AIG,"American International Group, Inc.",Financials,234 days 00:00:00.000000000,2018-12-17,2019-08-08,5072.17,56.27,6408.64,-1336.47,28.0,15.0,65.12,-557.74,-6.19,229.0,-89.0,3 days 10:36:16.744186046,43,51.16,48.84,4.8
35,AMT,American Tower Corp A,Real Estate,234 days 00:00:00.000000000,2018-12-17,2019-08-08,7961.05,33.94,9661.85,-1700.8,23.0,3.0,88.46,-374.96,-1.6,420.0,-567.0,4 days 21:13:50.769230769,26,50.0,50.0,5.68
36,AWK,American Water Works Company Inc,Utilities,234 days 00:00:00.000000000,2018-12-17,2019-08-08,37413.18,46.71,38388.65,-975.47,23.0,2.0,92.0,-1351.35,-1.69,1669.0,-488.0,6 days 09:36:00.000000000,25,68.0,32.0,39.35
37,AMP,Ameriprise Financial,Financials,234 days 00:00:00.000000000,2018-12-17,2019-08-08,4151.81,77.73,4814.27,-662.46,30.0,8.0,78.95,-459.62,-8.61,160.0,-83.0,3 days 19:34:44.210526315,38,39.47,60.53,7.27
38,ABC,AmerisourceBergen Corp,Health Care,234 days 00:00:00.000000000,2018-12-17,2019-08-08,7396.61,74.79,8729.37,-1332.76,21.0,4.0,84.0,-882.36,-8.92,416.0,-333.0,7 days 11:31:12.000000000,25,56.0,44.0,6.55
39,AME,AMETEK Inc.,Industrials,234 days 00:00:00.000000000,2018-12-17,2019-08-08,172.93,2.02,1672.56,-1499.63,7.0,12.0,36.84,-675.18,-7.89,239.0,-125.0,8 days 02:31:34.736842105,19,5.26,94.74,1.12
40,AMGN,Amgen Inc.,Health Care,234 days 00:00:00.000000000,2018-12-17,2019-08-08,-1597.67,-18.67,595.98,-2193.65,3.0,8.0,27.27,-537.3,-6.28,199.0,-274.0,20 days 00:00:00.000000000,11,54.55,45.45,0.27
41,APH,Amphenol Corp,Information Technology,234 days 00:00:00.000000000,2018-12-17,2019-08-08,4117.32,44.15,5586.61,-1469.29,12.0,5.0,70.59,-810.79,-8.69,466.0,-294.0,11 days 05:38:49.411764705,17,82.35,17.65,3.8
42,APC,Anadarko Petroleum Corp,Energy,234 days 00:00:00.000000000,2018-12-17,2019-08-08,6672.97,118.92,6713.51,-40.54,17.0,3.0,85.0,-815.86,-14.54,395.0,-14.0,5 days 10:48:00.000000000,20,70.0,30.0,165.6
43,ADI,"Analog Devices, Inc.",Information Technology,234 days 00:00:00.000000000,2018-12-17,2019-08-08,6290.66,87.0,6512.06,-221.4,21.0,4.0,84.0,-605.73,-8.38,310.0,-55.0,6 days 18:14:24.000000000,25,56.0,44.0,29.41
44,ANSS,ANSYS,Information Technology,234 days 00:00:00.000000000,2018-12-17,2019-08-08,4303.54,61.65,4818.81,-515.27,21.0,4.0,84.0,-470.47,-6.74,229.0,-129.0,5 days 23:02:24.000000000,25,68.0,32.0,9.35
45,ANTM,Anthem Inc.,Health Care,234 days 00:00:00.000000000,2018-12-17,2019-08-08,5250.35,39.27,5802.66,-552.31,8.0,3.0,72.73,-1865.76,-13.95,725.0,-184.0,14 days 17:27:16.363636363,11,72.73,27.27,10.51
46,AON,Aon plc,Financials,234 days 00:00:00.000000000,2018-12-17,2019-08-08,1468.24,11.59,2842.74,-1374.5,16.0,10.0,61.54,-298.9,-2.36,178.0,-137.0,6 days 09:13:50.769230769,26,38.46,61.54,2.07
47,APA,Apache Corporation,Energy,234 days 00:00:00.000000000,2018-12-17,2019-08-08,3900.32,78.33,4478.4,-578.08,18.0,4.0,81.82,-279.74,-5.62,249.0,-145.0,8 days 10:54:32.727272727,22,81.82,18.18,7.75
48,AIV,Apartment Investment & Management,Real Estate,234 days 00:00:00.000000000,2018-12-17,2019-08-08,-1145.43,-7.24,1075.32,-2220.75,1.0,1.0,50.0,-375.84,-2.38,1075.0,-2221.0,3 days 12:00:00.000000000,2,0.0,100.0,0.48
49,AAPL,Apple Inc.,Information Technology,234 days 00:00:00.000000000,2018-12-17,2019-08-08,1749.46,21.45,3864.27,-2114.81,12.0,12.0,50.0,-979.6,-12.01,322.0,-176.0,5 days 01:00:00.000000000,24,25.0,75.0,1.83
50,AMAT,Applied Materials Inc.,Information Technology,234 days 00:00:00.000000000,2018-12-17,2019-08-08,2538.29,40.1,3601.6,-1063.31,21.0,7.0,75.0,-506.52,-8.0,172.0,-152.0,4 days 11:08:34.285714285,28,21.43,78.57,3.39
51,APTV,Aptiv Plc,Consumer Discretionary,234 days 00:00:00.000000000,2018-12-17,2019-08-08,4801.11,97.35,4960.52,-159.41,21.0,4.0,84.0,-634.98,-12.88,236.0,-40.0,6 days 21:07:12.000000000,25,52.0,48.0,31.12
52,ADM,Archer-Daniels-Midland Co,Consumer Staples,234 days 00:00:00.000000000,2018-12-17,2019-08-08,4163.99,42.33,4591.65,-427.66,20.0,4.0,83.33,-641.84,-6.52,230.0,-107.0,8 days 01:00:00.000000000,24,41.67,58.33,10.74
53,ARNC,Arconic Inc.,Industrials,234 days 00:00:00.000000000,2018-12-17,2019-08-08,339.82,5.21,1952.89,-1613.07,3.0,3.0,50.0,-1041.33,-15.96,651.0,-538.0,28 days 00:00:00.000000000,6,33.33,66.67,1.21
54,AJG,Arthur J. Gallagher & Co.,Financials,234 days 00:00:00.000000000,2018-12-17,2019-08-08,997.91,7.85,2383.52,-1385.61,10.0,5.0,66.67,-721.41,-5.67,238.0,-277.0,7 days 00:00:00.000000000,15,26.67,73.33,1.72
55,AIZ,Assurant Inc.,Financials,234 days 00:00:00.000000000,2018-12-17,2019-08-08,8194.36,42.12,8438.44,-244.08,5.0,1.0,83.33,-1476.15,-7.59,1688.0,-244.0,37 days 08:00:00.000000000,6,83.33,16.67,34.57
56,T,AT&T Inc.,Telecommunication Services,234 days 00:00:00.000000000,2018-12-17,2019-08-08,2687.48,16.86,4794.88,-2107.4,13.0,6.0,68.42,-972.19,-6.1,369.0,-351.0,9 days 06:18:56.842105263,19,21.05,78.95,2.28
57,ADSK,Autodesk Inc.,Information Technology,234 days 00:00:00.000000000,2018-12-17,2019-08-08,3173.07,53.52,3926.65,-753.58,14.0,7.0,66.67,-1021.02,-17.22,280.0,-108.0,8 days 12:34:17.142857142,21,9.52,90.48,5.21
58,ADP,Automatic Data Processing,Information Technology,234 days 00:00:00.000000000,2018-12-17,2019-08-08,-2223.96,-18.75,0.0,-2223.96,0.0001,3.0,0.0,-932.72,-7.87,0.0,-741.0,21 days 16:00:00.000000000,3,0.0,100.0,0.0
59,AZO,AutoZone Inc,Consumer Discretionary,234 days 00:00:00.000000000,2018-12-17,2019-08-08,1356.79,8.28,5306.65,-3949.86,12.0,7.0,63.16,-924.16,-5.64,442.0,-564.0,8 days 03:47:22.105263157,19,15.79,84.21,1.34
60,AVB,"AvalonBay Communities, Inc.",Real Estate,234 days 00:00:00.000000000,2018-12-17,2019-08-08,1855.47,10.62,2166.58,-311.11,7.0,2.0,77.78,-1151.39,-6.59,310.0,-156.0,23 days 18:40:00.000000000,9,44.44,55.56,6.96
61,AVY,Avery Dennison Corp,Materials,234 days 00:00:00.000000000,2018-12-17,2019-08-08,1593.96,22.1,2053.19,-459.23,7.0,9.0,43.75,-841.6,-11.67,293.0,-51.0,10 days 10:30:00.000000000,16,6.25,93.75,4.47
62,BHGE,"Baker Hughes, a GE Company",Energy,234 days 00:00:00.000000000,2018-12-17,2019-08-08,4147.92,40.49,5449.8,-1301.88,9.0,4.0,69.23,-940.8,-9.18,606.0,-325.0,16 days 20:18:27.692307692,13,61.54,38.46,4.19
63,BLL,Ball Corp,Materials,234 days 00:00:00.000000000,2018-12-17,2019-08-08,11549.16,77.18,12288.05,-738.89,23.0,4.0,85.19,-470.58,-3.14,534.0,-185.0,6 days 04:26:40.000000000,27,81.48,18.52,16.63
64,BAC,Bank of America Corp,Financials,234 days 00:00:00.000000000,2018-12-17,2019-08-08,-782.15,-12.65,59.57,-841.72,1.0,2.0,33.33,-401.12,-6.49,60.0,-421.0,8 days 08:00:00.000000000,3,66.67,33.33,0.07
65,BAX,Baxter International Inc.,Health Care,234 days 00:00:00.000000000,2018-12-17,2019-08-08,-1670.3,-18.47,681.7,-2352.0,2.0,4.0,33.33,-970.2,-10.73,341.0,-588.0,29 days 00:00:00.000000000,6,0.0,100.0,0.29
66,BBT,BB&T Corporation,Financials,234 days 00:00:00.000000000,2018-12-17,2019-08-08,3914.02,45.53,4625.63,-711.61,19.0,8.0,70.37,-196.2,-2.28,243.0,-89.0,6 days 17:46:40.000000000,27,74.07,25.93,6.5
67,BDX,Becton Dickinson,Health Care,234 days 00:00:00.000000000,2018-12-17,2019-08-08,1153.37,12.91,1322.38,-169.01,4.0,2.0,66.67,-579.12,-6.48,331.0,-85.0,20 days 16:00:00.000000000,6,33.33,66.67,7.82
68,BBY,Best Buy Co. Inc.,Consumer Discretionary,234 days 00:00:00.000000000,2018-12-17,2019-08-08,116.71,1.17,1766.75,-1650.04,7.0,7.0,50.0,-496.79,-5.0,252.0,-236.0,11 days 15:25:42.857142857,14,7.14,92.86,1.07
69,BIIB,Biogen Inc.,Health Care,234 days 00:00:00.000000000,2018-12-17,2019-08-08,5135.23,58.41,5735.84,-600.61,11.0,3.0,78.57,-2868.48,-32.63,521.0,-200.0,14 days 01:42:51.428571428,14,42.86,57.14,9.55
70,BLK,BlackRock,Financials,234 days 00:00:00.000000000,2018-12-17,2019-08-08,2155.11,32.56,3089.45,-934.34,19.0,7.0,73.08,-440.02,-6.65,163.0,-133.0,6 days 02:46:09.230769230,26,50.0,50.0,3.31
71,HRB,Block H&R,Financials,234 days 00:00:00.000000000,2018-12-17,2019-08-08,39774.08,65.72,46635.8,-6861.72,30.0,10.0,75.0,-4888.0,-8.08,1555.0,-686.0,4 days 02:24:00.000000000,40,50.0,50.0,6.8
72,BA,Boeing Company,Industrials,234 days 00:00:00.000000000,2018-12-17,2019-08-08,935.16,13.2,2868.42,-1933.26,2.0,1.0,66.67,-1610.92,-22.73,1434.0,-1933.0,25 days 16:00:00.000000000,3,66.67,33.33,1.48
73,BKNG,Booking Holdings Inc,Consumer Discretionary,234 days 00:00:00.000000000,2018-12-17,2019-08-08,4581.67,44.23,5155.86,-574.19,17.0,4.0,80.95,-735.42,-7.1,303.0,-144.0,7 days 03:25:42.857142857,21,33.33,66.67,8.98
74,BWA,BorgWarner,Consumer Discretionary,234 days 00:00:00.000000000,2018-12-17,2019-08-08,3581.96,64.78,4223.78,-641.82,18.0,4.0,81.82,-425.04,-7.69,235.0,-160.0,8 days 22:54:32.727272727,22,77.27,22.73,6.58
75,BXP,Boston Properties,Real Estate,234 days 00:00:00.000000000,2018-12-17,2019-08-08,1054.15,10.14,1054.15,0.0,2.0,0.0001,100.0,-1050.06,-10.1,527.0,0.0,22 days 00:00:00.000000000,2,50.0,50.0,inf
76,BSX,Boston Scientific,Health Care,234 days 00:00:00.000000000,2018-12-17,2019-08-08,7118.46,58.49,8536.4,-1417.94,23.0,10.0,69.7,-733.7,-6.03,371.0,-142.0,4 days 08:00:00.000000000,33,39.39,60.61,6.02
77,BHF,Brighthouse Financial Inc,Financials,94 days 00:00:00.000000000,2019-05-06,2019-08-08,-638.05,-8.12,352.85,-990.9,2.0,3.0,40.0,-1039.36,-13.23,176.0,-330.0,15 days 00:00:00.000000000,5,100.0,0.0,0.36
78,BMY,Bristol-Myers Squibb,Health Care,234 days 00:00:00.000000000,2018-12-17,2019-08-08,151.01,1.19,1519.0,-1367.99,3.0,6.0,33.33,-2039.31,-16.05,506.0,-228.0,8 days 02:40:00.000000000,9,66.67,33.33,1.11
79,AVGO,Broadcom,Information Technology,234 days 00:00:00.000000000,2018-12-17,2019-08-08,1909.61,14.22,4369.65,-2460.04,3.0,1.0,75.0,-2291.52,-17.06,1457.0,-2460.0,38 days 18:00:00.000000000,4,100.0,0.0,1.78
80,CHRW,C. H. Robinson Worldwide,Industrials,234 days 00:00:00.000000000,2018-12-17,2019-08-08,-325.65,-2.0,0.0,-325.65,0.0001,1.0,0.01,-1415.31,-8.67,0.0,-326.0,0 days 00:00:00.000000000,1,100.0,0.0,0.0
81,CA,"CA, Inc.",Information Technology,21 days 00:00:00.000000000,2019-05-17,2019-06-07,296.4,2.87,296.4,0.0,1.0,1.0,50.0,0.0,0.0,296.0,0.0,0 days 12:00:00.000000000,2,100.0,0.0,inf
82,COG,Cabot Oil & Gas,Energy,234 days 00:00:00.000000000,2018-12-17,2019-08-08,2330.56,8.9,4577.41,-2246.85,5.0,2.0,71.43,-2730.28,-10.43,915.0,-1123.0,30 days 00:00:00.000000000,7,14.29,85.71,2.04
83,CAH,Cardinal Health Inc.,Health Care,234 days 00:00:00.000000000,2018-12-17,2019-08-08,5321.24,72.92,5424.77,-103.53,20.0,2.0,90.91,-799.02,-10.95,271.0,-52.0,5 days 09:49:05.454545454,22,40.91,59.09,52.4
84,KMX,Carmax Inc,Consumer Discretionary,234 days 00:00:00.000000000,2018-12-17,2019-08-08,6411.35,71.73,6411.35,0.0,10.0,1.0,90.91,-392.74,-4.39,641.0,0.0,18 days 21:49:05.454545454,11,54.55,45.45,inf
85,CCL,Carnival Corp.,Consumer Discretionary,234 days 00:00:00.000000000,2018-12-17,2019-08-08,3553.96,43.2,4714.59,-1160.63,14.0,4.0,77.78,-878.92,-10.68,337.0,-290.0,6 days 13:20:00.000000000,18,61.11,38.89,4.06
86,CAT,Caterpillar Inc.,Industrials,234 days 00:00:00.000000000,2018-12-17,2019-08-08,328.72,4.91,328.72,0.0,1.0,0.0001,99.99,-417.11,-6.23,329.0,0.0,0 days 00:00:00.000000000,1,0.0,100.0,inf
87,CBOE,Cboe Global Markets,Financials,234 days 00:00:00.000000000,2018-12-17,2019-08-08,135228.2,80.09,142275.96,-7047.76,29.0,4.0,87.88,-7956.0,-4.71,4906.0,-1762.0,3 days 19:38:10.909090909,33,63.64,36.36,20.19
88,CBRE,CBRE Group,Real Estate,234 days 00:00:00.000000000,2018-12-17,2019-08-08,713.8,12.63,1963.96,-1250.16,13.0,6.0,68.42,-400.2,-7.08,151.0,-208.0,9 days 03:47:22.105263157,19,31.58,68.42,1.57
89,CBS,CBS Corp.,Consumer Discretionary,234 days 00:00:00.000000000,2018-12-17,2019-08-08,1886.23,21.65,3266.39,-1380.16,14.0,5.0,73.68,-949.44,-10.9,233.0,-276.0,10 days 12:37:53.684210526,19,42.11,57.89,2.37
90,CELG,Celgene Corp.,Health Care,234 days 00:00:00.000000000,2018-12-17,2019-08-08,4243.45,64.58,5128.83,-885.38,22.0,9.0,70.97,-370.56,-5.64,233.0,-98.0,4 days 13:09:40.645161290,31,35.48,64.52,5.79
91,CNC,Centene Corporation,Health Care,234 days 00:00:00.000000000,2018-12-17,2019-08-08,5811.07,52.24,6083.23,-272.16,6.0,1.0,85.71,-1358.07,-12.21,1014.0,-272.0,28 days 03:25:42.857142857,7,28.57,71.43,22.35
92,CNP,CenterPoint Energy,Utilities,234 days 00:00:00.000000000,2018-12-17,2019-08-08,2744.33,14.51,3517.25,-772.92,12.0,1.0,92.31,-1087.3,-5.75,293.0,-773.0,8 days 12:55:23.076923076,13,61.54,38.46,4.55
93,CTL,CenturyLink Inc,Telecommunication Services,234 days 00:00:00.000000000,2018-12-17,2019-08-08,12038.5,99.19,13339.04,-1300.54,25.0,7.0,78.12,-957.02,-7.89,534.0,-186.0,4 days 15:00:00.000000000,32,37.5,62.5,10.26
94,CERN,Cerner,Health Care,234 days 00:00:00.000000000,2018-12-17,2019-08-08,7534.13,72.99,8146.93,-612.8,23.0,5.0,82.14,-699.36,-6.78,354.0,-123.0,6 days 00:00:00.000000000,28,67.86,32.14,13.29
95,CF,CF Industries Holdings Inc,Materials,234 days 00:00:00.000000000,2018-12-17,2019-08-08,3841.29,40.84,4389.96,-548.67,7.0,4.0,63.64,-845.34,-8.99,627.0,-137.0,11 days 13:05:27.272727272,11,100.0,0.0,8.0
96,SCHW,Charles Schwab Corporation,Financials,234 days 00:00:00.000000000,2018-12-17,2019-08-08,939.68,12.17,939.68,0.0,2.0,0.0001,100.0,-419.24,-5.43,470.0,0.0,115 days 12:00:00.000000000,2,0.0,100.0,inf
97,CHTR,Charter Communications,Consumer Discretionary,234 days 00:00:00.000000000,2018-12-17,2019-08-08,4524.81,51.47,4722.2,-197.39,15.0,2.0,88.24,-668.92,-7.61,315.0,-99.0,9 days 08:28:14.117647058,17,64.71,35.29,23.92
98,CVX,Chevron Corp.,Energy,234 days 00:00:00.000000000,2018-12-17,2019-08-08,1160.76,11.35,2582.25,-1421.49,10.0,4.0,71.43,-980.98,-9.59,258.0,-355.0,9 days 12:00:00.000000000,14,35.71,64.29,1.82
99,CMG,Chipotle Mexican Grill,Consumer Discretionary,234 days 00:00:00.000000000,2018-12-17,2019-08-08,8927.6,75.14,10731.03,-1803.43,14.0,7.0,66.67,-799.0,-6.72,767.0,-258.0,8 days 20:34:17.142857142,21,28.57,71.43,5.95
100,CB,Chubb Limited,Financials,234 days 00:00:00.000000000,2018-12-17,2019-08-08,-495.32,-3.11,1497.73,-1993.05,5.0,4.0,55.56,-520.8,-3.27,300.0,-498.0,23 days 05:20:00.000000000,9,11.11,88.89,0.75
101,CHD,Church & Dwight,Consumer Staples,234 days 00:00:00.000000000,2018-12-17,2019-08-08,-13252.6,-13.05,0.0,-13252.6,0.0001,1.0,0.01,-7504.67,-7.39,0.0,-13253.0,0 days 00:00:00.000000000,1,0.0,100.0,0.0
102,CI,CIGNA Corp.,Health Care,234 days 00:00:00.000000000,2018-12-17,2019-08-08,17229.45,124.53,17229.45,0.0,27.0,0.0001,100.0,-2284.1,-16.51,638.0,0.0,6 days 16:53:20.000000000,27,48.15,51.85,inf
103,XEC,Cimarex Energy,Energy,234 days 00:00:00.000000000,2018-12-17,2019-08-08,3286.84,46.27,5103.06,-1816.22,16.0,6.0,72.73,-514.18,-7.24,319.0,-303.0,8 days 06:32:43.636363636,22,81.82,18.18,2.81
104,CINF,Cincinnati Financial,Financials,234 days 00:00:00.000000000,2018-12-17,2019-08-08,2100.37,13.33,4133.62,-2033.25,10.0,10.0,50.0,-377.5,-2.4,413.0,-203.0,8 days 15:36:00.000000000,20,25.0,75.0,2.03
105,CTAS,Cintas Corporation,Industrials,234 days 00:00:00.000000000,2018-12-17,2019-08-08,812.9,8.29,1616.69,-803.79,8.0,6.0,57.14,-273.54,-2.79,202.0,-134.0,7 days 01:42:51.428571428,14,42.86,57.14,2.01
106,CSCO,Cisco Systems,Information Technology,234 days 00:00:00.000000000,2018-12-17,2019-08-08,352.04,4.02,1741.66,-1389.62,3.0,2.0,60.0,-855.76,-9.78,581.0,-695.0,42 days 00:00:00.000000000,5,80.0,20.0,1.25
