Statement,Header,Field Name,Field Value
Statement,Data,BrokerName,Interactive Brokers
Statement,Data,BrokerAddress,
Statement,Data,Title,Activity Statement
Statement,Data,Period,"October 28, 2019"
Statement,Data,WhenGenerated,"2019-10-29, 10:23:52 EDT"
Account Information,Header,Field Name,Field Value
Account Information,Data,Name,CSS Alpha Fund Ltd
Account Information,Data,Account,DU1507428
Account Information,Data,Master Name,CSS Alpha Fund Ltd
Account Information,Data,Account Type,Individual
Account Information,Data,Customer Type,Corporate
Account Information,Data,Account Capabilities,Portfolio Margin
Account Information,Data,Base Currency,USD
Net Asset Value,Header,Asset Class,Prior Total,Current Long,Current Short,Current Total,Change
Net Asset Value,Data,Cash ,474757.437807308,558576.105984271,0,558576.105984271,83818.668176963
Net Asset Value,Data,Stock,28022.13,1032973.16,-1088135.27,-55162.11,-83184.24
Net Asset Value,Data,Interest Accruals,-573.41,353.38,-954.71,-601.33,-27.92
Net Asset Value,Data,Total,502206.157807308,1591902.645984271,-1089089.98,502812.665984271,606.508176963
Net Asset Value,Header,Time Weighted Rate of Return
Net Asset Value,Data,0.120768765%
Change in NAV,Header,Field Name,Field Value
Change in NAV,Data,Starting Value,502206.157807308
Change in NAV,Data,Mark-to-Market,670.87
Change in NAV,Data,Change in Interest Accruals,-27.92
Change in NAV,Data,Commissions,-36.441823037
Change in NAV,Data,Ending Value,502812.665984271
Mark-to-Market Performance Summary,Header,Asset Category,Symbol,Prior Quantity,Current Quantity,Prior Price,Current Price,Mark-to-Market P/L Position,Mark-to-Market P/L Transaction,Mark-to-Market P/L Commissions,Mark-to-Market P/L Other,Mark-to-Market P/L Total,Code
Mark-to-Market Performance Summary,Data,Stocks,ISRG,-19,-19,549.2700,558.6500,-178.22,0,0,0,-178.22,
Mark-to-Market Performance Summary,Data,Stocks,IT,69,69,146.0400,146.1000,4.14,0,0,0,4.14,
Mark-to-Market Performance Summary,Data,Stocks,IVZ,589,589,17.0500,17.3400,170.81,0,0,0,170.81,
Mark-to-Market Performance Summary,Data,Stocks,JBHT,92,92,116.7500,116.7900,3.68,0,0,0,3.68,
Mark-to-Market Performance Summary,Data,Stocks,JEC,-107,-107,93.9300,94.4100,-51.36,0,0,0,-51.36,
Mark-to-Market Performance Summary,Data,Stocks,JEF,494,494,18.9100,18.9400,14.82,0,0,0,14.82,
Mark-to-Market Performance Summary,Data,Stocks,JNJ,-77,-77,128.3500,129.1800,-63.91,0,0,0,-63.91,
Mark-to-Market Performance Summary,Data,Stocks,JNPR,-420,-420,25.2300,25.1500,33.6,0,0,0,33.6,
Mark-to-Market Performance Summary,Data,Stocks,JPM,-88,-88,126.0300,126.5100,-42.24,0,0,0,-42.24,
Mark-to-Market Performance Summary,Data,Stocks,JWN,-312,-312,37.2300,38.0400,-252.72,0,0,0,-252.72,
Mark-to-Market Performance Summary,Data,Stocks,K,20,20,60.8900,61.0600,3.4,0,0,0,3.4,
Mark-to-Market Performance Summary,Data,Stocks,KIM,-998,-998,21.1500,20.9600,189.62,0,0,0,189.62,
Mark-to-Market Performance Summary,Data,Stocks,KLAC,-63,-63,169.9400,174.7800,-304.92,0,0,0,-304.92,
Mark-to-Market Performance Summary,Data,Stocks,KMX,118,118,94.7700,94.9800,24.78,0,0,0,24.78,
Mark-to-Market Performance Summary,Data,Stocks,KO,185,185,53.7500,53.5700,-33.3,0,0,0,-33.3,
Mark-to-Market Performance Summary,Data,Stocks,KR,-419,0,25.2800,25.3300,-20.95,0,-2.095,0,-23.045,
Mark-to-Market Performance Summary,Data,Stocks,KSS,-26,-26,53.9600,53.7100,6.5,0,0,0,6.5,
Mark-to-Market Performance Summary,Data,Stocks,LB,-566,-566,17.7600,17.9500,-107.54,0,0,0,-107.54,
Mark-to-Market Performance Summary,Data,Stocks,LEG,244,244,45.2500,46.1600,222.04,0,0,0,222.04,
Mark-to-Market Performance Summary,Data,Stocks,LLY,89,0,110.2000,112.9900,248.31,-227.84,-1.214036189,0,19.255963811,
Mark-to-Market Performance Summary,Data,Stocks,LRCX,42,42,270.0500,281.2500,470.4,0,0,0,470.4,
Mark-to-Market Performance Summary,Data,Stocks,LUV,-187,-187,56.7400,57.6400,-168.3,0,0,0,-168.3,
Mark-to-Market Performance Summary,Data,Stocks,LYB,-119,-119,90.8300,91.3400,-60.69,0,0,0,-60.69,
Mark-to-Market Performance Summary,Data,Stocks,MAA,-77,-77,135.4800,134.9500,40.81,0,0,0,40.81,
Mark-to-Market Performance Summary,Data,Stocks,MCHP,-107,-107,93.9000,95.5900,-180.83,0,0,0,-180.83,
Mark-to-Market Performance Summary,Data,Stocks,MCK,66,66,145.9600,145.4800,-31.68,0,0,0,-31.68,
Mark-to-Market Performance Summary,Data,Stocks,MDT,94,94,105.4400,106.2200,73.32,0,0,0,73.32,
Mark-to-Market Performance Summary,Data,Stocks,MGM,-370,-370,28.1500,28.5500,-148,0,0,0,-148,
Mark-to-Market Performance Summary,Data,Stocks,MLM,-38,-38,268.3300,269.0500,-27.36,0,0,0,-27.36,
Mark-to-Market Performance Summary,Data,Stocks,MO,241,241,46.8000,45.9900,-195.21,0,0,0,-195.21,
Mark-to-Market Performance Summary,Data,Stocks,MOS,521,521,20.5400,20.5800,20.84,0,0,0,20.84,
Mark-to-Market Performance Summary,Data,Stocks,MPC,-154,-154,68.0100,67.5800,66.22,0,0,0,66.22,
Mark-to-Market Performance Summary,Data,Stocks,MRK,119,119,82.2600,82.2000,-7.14,0,0,0,-7.14,
Mark-to-Market Performance Summary,Data,Stocks,MRO,-820,-820,11.9800,11.9400,32.8,0,0,0,32.8,
Mark-to-Market Performance Summary,Data,Stocks,MTB,64,64,156.5800,158.6600,133.12,0,0,0,133.12,
Mark-to-Market Performance Summary,Data,Stocks,MU,233,233,48.0300,48.6900,153.78,0,0,0,153.78,
Mark-to-Market Performance Summary,Data,Stocks,NCLH,202,202,51.4700,51.8900,84.84,0,0,0,84.84,
Mark-to-Market Performance Summary,Data,Stocks,NKE,109,109,90.9200,90.8500,-7.63,0,0,0,-7.63,
Mark-to-Market Performance Summary,Data,Stocks,NOC,-3,-3,345.0000,346.5300,-4.59,0,0,0,-4.59,
Mark-to-Market Performance Summary,Data,Stocks,NOV,-491,-491,20.8500,20.9600,-54.01,0,0,0,-54.01,
Mark-to-Market Performance Summary,Data,Stocks,NTRS,-113,-113,101.5300,102.5300,-113,0,0,0,-113,
Mark-to-Market Performance Summary,Data,Stocks,NUE,188,188,53.8200,54.7300,171.08,0,0,0,171.08,
Mark-to-Market Performance Summary,Data,Stocks,NVDA,7,7,204.5400,206.7900,15.75,0,0,0,15.75,
Mark-to-Market Performance Summary,Data,Stocks,NWS,-704,-704,14.2100,14.3000,-63.36,0,0,0,-63.36,
Mark-to-Market Performance Summary,Data,Stocks,NWSA,-734,-734,13.8000,13.8900,-66.06,0,0,0,-66.06,
Mark-to-Market Performance Summary,Data,Stocks,ORCL,185,185,54.1700,54.6400,86.95,0,0,0,86.95,
Mark-to-Market Performance Summary,Data,Stocks,PAYX,118,118,84.5300,84.4200,-12.98,0,0,0,-12.98,
Mark-to-Market Performance Summary,Data,Stocks,PEG,-162,-162,62.9000,62.1900,115.02,0,0,0,115.02,
Mark-to-Market Performance Summary,Data,Stocks,PFE,279,279,36.7700,37.2800,142.29,0,0,0,142.29,
Mark-to-Market Performance Summary,Data,Stocks,PG,82,82,123.2500,123.4800,18.86,0,0,0,18.86,
Mark-to-Market Performance Summary,Data,Stocks,PHM,-278,-278,40.4100,39.4700,261.32,0,0,0,261.32,
Mark-to-Market Performance Summary,Data,Stocks,PKG,95,95,110.9300,112.5100,150.1,0,0,0,150.1,
Mark-to-Market Performance Summary,Data,Stocks,PM,129,129,81.9800,82.0900,14.19,0,0,0,14.19,
Mark-to-Market Performance Summary,Data,Stocks,PNW,-103,-103,94.2000,92.2300,202.91,0,0,0,202.91,
Mark-to-Market Performance Summary,Data,Stocks,PPG,-83,-83,124.0400,123.7100,27.39,0,0,0,27.39,
Mark-to-Market Performance Summary,Data,Stocks,PPL,-322,-322,33.2200,32.9400,90.16,0,0,0,90.16,
Mark-to-Market Performance Summary,Data,Stocks,PSX,-91,-91,114.4200,117.2500,-257.53,0,0,0,-257.53,
Mark-to-Market Performance Summary,Data,Stocks,PVH,-115,-115,92.7700,89.6700,356.5,0,0,0,356.5,
Mark-to-Market Performance Summary,Data,Stocks,PWR,-243,-243,41.4400,42.0800,-155.52,0,0,0,-155.52,
Mark-to-Market Performance Summary,Data,Stocks,PXD,75,75,129.8300,125.5500,-321,0,0,0,-321,
Mark-to-Market Performance Summary,Data,Stocks,PYPL,97,97,107.1900,106.6000,-57.23,0,0,0,-57.23,
Mark-to-Market Performance Summary,Data,Stocks,QRVO,126,126,79.0200,80.3200,163.8,0,0,0,163.8,
Mark-to-Market Performance Summary,Data,Stocks,RCL,-94,-94,111.3700,112.2000,-78.02,0,0,0,-78.02,
Mark-to-Market Performance Summary,Data,Stocks,RE,-38,-38,248.5900,247.0200,59.66,0,0,0,59.66,
Mark-to-Market Performance Summary,Data,Stocks,REG,147,147,68.5000,68.0800,-61.74,0,0,0,-61.74,
Mark-to-Market Performance Summary,Data,Stocks,REGN,0,33,--,308.5600,0,57.42,-1,0,56.42,
Mark-to-Market Performance Summary,Data,Stocks,RHI,-23,-23,57.9200,59.1900,-29.21,0,0,0,-29.21,
Mark-to-Market Performance Summary,Data,Stocks,ROK,57,57,177.3800,176.7400,-36.48,0,0,0,-36.48,
Mark-to-Market Performance Summary,Data,Stocks,ROL,-279,-279,38.3800,38.0000,106.02,0,0,0,106.02,
Mark-to-Market Performance Summary,Data,Stocks,RSG,116,116,86.0300,86.0400,1.16,0,0,0,1.16,
Mark-to-Market Performance Summary,Data,Stocks,RTN,-50,-50,212.1500,211.6100,27,0,0,0,27,
Mark-to-Market Performance Summary,Data,Stocks,SBUX,116,116,83.3800,83.6000,25.52,0,0,0,25.52,
Mark-to-Market Performance Summary,Data,Stocks,SEE,-243,-243,41.8700,42.0400,-41.31,0,0,0,-41.31,
Mark-to-Market Performance Summary,Data,Stocks,SHW,-18,-18,574.9300,578.2400,-59.58,0,0,0,-59.58,
Mark-to-Market Performance Summary,Data,Stocks,SIVB,0,-46,--,227.2800,0,-311.42,-1.215443622,0,-312.635443622,
Mark-to-Market Performance Summary,Data,Stocks,SLG,0,-121,--,82.2600,0,50.82,-1.221487596,0,49.598512404,
Mark-to-Market Performance Summary,Data,Stocks,SNA,-64,-64,166.6400,166.3300,19.84,0,0,0,19.84,
Mark-to-Market Performance Summary,Data,Stocks,SO,164,164,61.3500,61.0100,-55.76,0,0,0,-55.76,
Mark-to-Market Performance Summary,Data,Stocks,SPB,12,12,50.5600,50.5400,-0.24,0,0,0,-0.24,
Mark-to-Market Performance Summary,Data,Stocks,SPG,-8,-8,155.5600,153.8400,13.76,0,0,0,13.76,
Mark-to-Market Performance Summary,Data,Stocks,SRE,-69,-69,143.9700,141.1700,193.2,0,0,0,193.2,
Mark-to-Market Performance Summary,Data,Stocks,SWKS,-118,-118,90.0600,91.6600,-188.8,0,0,0,-188.8,
Mark-to-Market Performance Summary,Data,Stocks,SYMC,434,434,22.6900,22.8500,69.44,0,0,0,69.44,
Mark-to-Market Performance Summary,Data,Stocks,TDG,19,19,523.4500,527.5200,77.33,0,0,0,77.33,
Mark-to-Market Performance Summary,Data,Stocks,TFX,-30,-30,321.8800,327.3400,-163.8,0,0,0,-163.8,
Mark-to-Market Performance Summary,Data,Stocks,TGT,-89,-89,109.0200,109.7200,-62.3,0,0,0,-62.3,
Mark-to-Market Performance Summary,Data,Stocks,TIF,0,-102,--,129.7200,0,-176.46,-1.282376086,0,-177.742376086,
Mark-to-Market Performance Summary,Data,Stocks,TRIP,-268,-268,40.3200,40.5200,-53.6,0,0,0,-53.6,
Mark-to-Market Performance Summary,Data,Stocks,TRV,71,71,130.4300,129.3000,-80.23,0,0,0,-80.23,
Mark-to-Market Performance Summary,Data,Stocks,TSCO,-109,0,96.4600,95.7100,81.75,-102.46,-1,0,-21.71,
Mark-to-Market Performance Summary,Data,Stocks,TXT,212,212,47.2600,47.0300,-48.76,0,0,0,-48.76,
Mark-to-Market Performance Summary,Data,Stocks,UAA,-509,-509,21.0600,21.1900,-66.17,0,0,0,-66.17,
Mark-to-Market Performance Summary,Data,Stocks,UAL,111,0,91.6400,92.1900,61.05,-54.39,-1.22390809,0,5.43609191,
Mark-to-Market Performance Summary,Data,Stocks,UHS,68,68,137.9300,138.0800,10.2,0,0,0,10.2,
Mark-to-Market Performance Summary,Data,Stocks,ULTA,41,41,240.9000,241.7400,34.44,0,0,0,34.44,
