;Urgence dentaire;Adulte - Consultation de suivi;Adulte - Première consultation ;Détartrage;Enfant - Première consultation dentaire ;Pose de prothèse dentaire (couronne);Enfant - Consultation de suivi ;Bilan bucco-dentaire;Extraction dentaire;Endodontie;Taille et empreinte;Parodontie;Adulte - 1ere consultation d'orthodontie (a été supprimé);Enfant - 1ere consultation d'orthodontie (a été supprimé);Pose d'implant dentaire;Adule Première consultation;Enfant Première consultation;Suivi du traitement  (a été supprimé);Non renseigné;Pose / Collage Long ;Empreinte;Empreinte alignement (Invisalign);Pose / Collage Court ;Suivi traitement
09/11/2018;2;0;6;3;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0
12/11/2018;1;0;8;1;0;0;0;0;0;0;0;0;0;3;0;4;3;2;2;0;0;0;0;0
13/11/2018;2;1;16;0;1;2;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
14/11/2018;8;3;14;0;2;8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15/11/2018;2;2;9;2;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16/11/2018;2;4;8;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19/11/2018;1;2;10;1;0;2;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0
20/11/2018;3;2;12;1;1;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
21/11/2018;1;3;13;0;3;4;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
22/11/2018;1;0;4;1;1;4;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0
23/11/2018;0;2;7;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
26/11/2018;2;0;6;0;0;1;0;0;1;0;4;0;0;2;0;7;8;0;0;1;0;0;0;0
27/11/2018;2;2;6;0;0;1;0;0;1;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0
28/11/2018;2;0;5;1;0;0;0;0;2;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0
29/11/2018;1;1;6;0;1;3;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0
30/11/2018;1;0;7;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03/12/2018;1;1;3;0;1;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0
04/12/2018;2;1;19;3;2;4;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
05/12/2018;0;5;12;1;2;4;0;1;1;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0
06/12/2018;2;1;5;0;0;5;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07/12/2018;3;1;4;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
10/12/2018;6;3;8;4;1;1;0;0;1;0;3;0;0;0;0;9;12;0;0;0;0;0;0;0
11/12/2018;4;1;20;2;3;4;0;0;0;0;2;0;0;0;1;1;0;0;0;0;0;0;0;0
12/12/2018;6;4;7;2;4;4;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
13/12/2018;2;0;1;0;1;5;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
14/12/2018;5;1;4;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
17/12/2018;3;3;15;2;1;5;0;0;2;0;6;0;0;0;1;0;0;0;0;0;0;0;0;0
18/12/2018;8;3;22;7;1;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
19/12/2018;4;0;11;4;6;2;0;0;2;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0
20/12/2018;1;3;19;2;0;4;0;0;1;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0
21/12/2018;1;1;0;0;0;3;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
24/12/2018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;8;0;0;1;3;1;1;2
26/12/2018;6;1;9;1;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27/12/2018;8;2;7;0;0;6;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
28/12/2018;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
