TIERS_FACTURABLE;TIERS_ASSOCIE;CODE_TRANSMISSION;REGROUPEMENT
ADREA MUTUELLE PROFESSION (RO 030014200);ACS CONTRAT B - MEDIUM (RC 22222228);M;92
ADREA MUTUELLE PROFESSION (RO 030014300);ACS CONTRAT B - MEDIUM (RC 22222228);M;92
ADREA MUTUELLE PROFESSION (RO 030014200);MGEN SANTE PREVOYANCE (RC 27200000);;
ADREA MUTUELLE PROFESSION (RO 030014300);MGEN SANTE PREVOYANCE (RC 27200000);;
ADREA MUTUELLE PROFESSION (RO 030014200);ACS CONTRAT A - BASE (RC 11111119);M;91
ADREA MUTUELLE PROFESSION (RO 030014300);ACS CONTRAT A - BASE (RC 11111119);M;91
ADREA MUTUELLE PROFESSION (RO 030454200);MUTUELLE SORUAL (RC 67100149);;
ADREA MUTUELLE PROFESSION (RO 030455100);MUTUELLE SORUAL (RC 67100149);;
ADREA MUTUELLE PROFESSION (RO 030014200);MGEN INTERNATIONALE (RC 27777777);;
ADREA MUTUELLE PROFESSION (RO 030014300);MGEN INTERNATIONALE (RC 27777777);;
ADREA MUTUELLE PROFESSION (RO 030454200);MGEN INTERNATIONALE (RC 27777777);;
ADREA MUTUELLE PROFESSION (RO 030455100);MGEN INTERNATIONALE (RC 27777777);;
ADREA MUTUELLE PROFESSION (RO 030014200);CMU AUTRES (RC 88888888);M;89
ADREA MUTUELLE PROFESSION (RO 030014300);CMU AUTRES (RC 88888888);M;89
ADREA MUTUELLE PROFESSION (RO 030014200);CMU CPAM (RC 99999997);M;89
ADREA MUTUELLE PROFESSION (RO 030014300);CMU CPAM (RC 99999997);M;89
ADREA MUTUELLE PROFESSION (RO 030454200);CMU CPAM (RC 99999997);M;89
ADREA MUTUELLE PROFESSION (RO 030455100);CMU CPAM (RC 99999997);M;89
ADREA MUTUELLE PROFESSION (RO 030454200);ACS CONTRAT B - MEDIUM (RC 22222228);M;92
ADREA MUTUELLE PROFESSION (RO 030455100);ACS CONTRAT B - MEDIUM (RC 22222228);M;92
ADREA MUTUELLE PROFESSION (RO 030455100);BPCE MUTUELLE (RC 51007990);;
ADREA MUTUELLE PROFESSION (RO 030454200);BPCE MUTUELLE (RC 51007990);;
ADREA MUTUELLE PROFESSION (RO 030014200);BPCE MUTUELLE (RC 51007990);;
ADREA MUTUELLE PROFESSION (RO 030014300);BPCE MUTUELLE (RC 51007990);;
ADREA MUTUELLE PROFESSION (RO 030454200);AME PARTIELLE (RC 75500017);;
ADREA MUTUELLE PROFESSION (RO 030014300);MUTUELLE SORUAL (RC 67100149);;
ADREA MUTUELLE PROFESSION (RO 030455100);ACS CONTRAT A - BASE (RC 11111119);M;91
ADREA MUTUELLE PROFESSION (RO 030454200);ACS CONTRAT A - BASE (RC 11111119);M;91
ADREA MUTUELLE PROFESSION (RO 030014300);MGEN ACCES SANTE (RC 27011000);;
ADREA MUTUELLE PROFESSION (RO 030014200);MGEN ACCES SANTE (RC 27011000);;
ADREA MUTUELLE PROFESSION (RO 030014300);ACS CONTRAT C - PREMIUM (RC 33333337);M;93
ADREA MUTUELLE PROFESSION (RO 030014200);ACS CONTRAT C - PREMIUM (RC 33333337);M;93
ADREA MUTUELLE PROFESSION (RO 030014300);AME PARTIELLE (RC 75500017);;
ADREA MUTUELLE PROFESSION (RO 030014200);AME PARTIELLE (RC 75500017);;
ADREA MUTUELLE PROFESSION (RO 030014200);MUTUELLE SORUAL (RC 67100149);;
ADREA MUTUELLE PROFESSION (RO 030454200);MGEN SANTE PREVOYANCE (RC 27200000);;
ADREA MUTUELLE PROFESSION (RO 030455100);MGEN SANTE PREVOYANCE (RC 27200000);;
ADREA MUTUELLE PROFESSION (RO 030014300);MENAGES PREVOYANT (RC 78000400);;
ADREA MUTUELLE PROFESSION (RO 030014200);MENAGES PREVOYANT (RC 78000400);;
ADREA MUTUELLE PROFESSION (RO 030455100);MENAGES PREVOYANT (RC 78000400);;
ADREA MUTUELLE PROFESSION (RO 030454200);MENAGES PREVOYANT (RC 78000400);;
ADREA NORMANDIE P. LOIRE (RC 14004227);ADREA RÈGLEMENT (RC 311799878);;0
AGIR (RO 030255100);MUTUELLE SORUAL (RC 67100149);;
AGIR (RO 030255100);AME PARTIELLE (RC 75500017);;
AGIR (RO 030255100);MGEN INTERNATIONALE (RC 27777777);;
AGIR (RO 030253100);CMU CPAM (RC 99999997);M;89
AGIR (RO 030255100);CMU CPAM (RC 99999997);M;89
AGIR (RO 030253100);ACS CONTRAT B - MEDIUM (RC 22222228);M;92
AGIR (RO 030255100);ACS CONTRAT B - MEDIUM (RC 22222228);M;92
AGIR (RO 030255100);BPCE MUTUELLE (RC 51007990);;
AGIR (RO 030253100);BPCE MUTUELLE (RC 51007990);;
AGIR (RO 030253100);MENAGES PREVOYANT (RC 78000400);;
AGIR (RO 030255100);MENAGES PREVOYANT (RC 78000400);;
AGIR (RO 030253100);MUTUELLE SORUAL (RC 67100149);;
AGIR (RO 030253100);ACS CONTRAT C - PREMIUM (RC 33333337);M;93
AGIR (RO 030255100);ACS CONTRAT C - PREMIUM (RC 33333337);M;93
AGIR (RO 030253100);MGEN ACCES SANTE (RC 27011000);;
AGIR (RO 030255100);MGEN ACCES SANTE (RC 27011000);;
AGIR (RO 030253100);CMU AUTRES (RC 88888888);M;89
AGIR (RO 030255100);CMU AUTRES (RC 88888888);M;89
AGIR (RO 030253100);MGEN SANTE PREVOYANCE (RC 27200000);;
AGIR (RO 030255100);MGEN SANTE PREVOYANCE (RC 27200000);;
AGIR (RO 030253100);ACS CONTRAT A - BASE (RC 11111119);M;91
AGIR (RO 030255100);ACS CONTRAT A - BASE (RC 11111119);M;91
AGIR (RO 030253100);AME PARTIELLE (RC 75500017);;
AGIR (RO 030253100);MGEN INTERNATIONALE (RC 27777777);;
AIDE MEDICALE - PAS DE TP (RO AMERO);MGEN SANTE PREVOYANCE (RC 27200000);;
AIDE MEDICALE - PAS DE TP (RO AMERO);MUTUELLE SORUAL (RC 67100149);;
AIDE MEDICALE - PAS DE TP (RO AMERO);CMU AUTRES (RC 88888888);M;89
AIDE MEDICALE - PAS DE TP (RO AMERO);CMU CPAM (RC 99999997);M;89
AIDE MEDICALE - PAS DE TP (RO AMERO);BPCE MUTUELLE (RC 51007990);;
AIDE MEDICALE - PAS DE TP (RO AMERO);ACS CONTRAT A - BASE (RC 11111119);M;91
AIDE MEDICALE - PAS DE TP (RO AMERO);MGEN ACCES SANTE (RC 27011000);;
AIDE MEDICALE - PAS DE TP (RO AMERO);ACS CONTRAT B - MEDIUM (RC 22222228);M;92
AIDE MEDICALE - PAS DE TP (RO AMERO);ACS CONTRAT C - PREMIUM (RC 33333337);M;93
AIDE MEDICALE - PAS DE TP (RO AMERO);AME PARTIELLE (RC 75500017);;
AIDE MEDICALE - PAS DE TP (RO AMERO);MGEN INTERNATIONALE (RC 27777777);;
AIDE MEDICALE - PAS DE TP (RO AMERO);MENAGES PREVOYANT (RC 78000400);;
AVENIR SANTE MUTUELLE (RO 030463100);MUTUELLE SORUAL (RC 67100149);;
AVENIR SANTE MUTUELLE (RO 030473100);MUTUELLE SORUAL (RC 67100149);;
AVENIR SANTE MUTUELLE (RO 030483100);MUTUELLE SORUAL (RC 67100149);;
AVENIR SANTE MUTUELLE (RO 030503100);MUTUELLE SORUAL (RC 67100149);;
AVENIR SANTE MUTUELLE (RO 030523100);MUTUELLE SORUAL (RC 67100149);;
AVENIR SANTE MUTUELLE (RO 030523100);MGEN SANTE PREVOYANCE (RC 27200000);;
AVENIR SANTE MUTUELLE (RO 030463100);MGEN INTERNATIONALE (RC 27777777);;
AVENIR SANTE MUTUELLE (RO 030473100);MGEN INTERNATIONALE (RC 27777777);;
AVENIR SANTE MUTUELLE (RO 030483100);MGEN INTERNATIONALE (RC 27777777);;
AVENIR SANTE MUTUELLE (RO 030503100);MGEN INTERNATIONALE (RC 27777777);;
AVENIR SANTE MUTUELLE (RO 030463100);CMU CPAM (RC 99999997);M;89
AVENIR SANTE MUTUELLE (RO 030473100);CMU CPAM (RC 99999997);M;89
AVENIR SANTE MUTUELLE (RO 030483100);CMU CPAM (RC 99999997);M;89
AVENIR SANTE MUTUELLE (RO 030503100);CMU CPAM (RC 99999997);M;89
AVENIR SANTE MUTUELLE (RO 030523100);CMU CPAM (RC 99999997);M;89
AVENIR SANTE MUTUELLE (RO 030463100);ACS CONTRAT B - MEDIUM (RC 22222228);M;92
AVENIR SANTE MUTUELLE (RO 030473100);ACS CONTRAT B - MEDIUM (RC 22222228);M;92
AVENIR SANTE MUTUELLE (RO 030483100);ACS CONTRAT B - MEDIUM (RC 22222228);M;92
AVENIR SANTE MUTUELLE (RO 030503100);ACS CONTRAT B - MEDIUM (RC 22222228);M;92
AVENIR SANTE MUTUELLE (RO 030523100);ACS CONTRAT B - MEDIUM (RC 22222228);M;92
AVENIR SANTE MUTUELLE (RO 030473100);BPCE MUTUELLE (RC 51007990);;
AVENIR SANTE MUTUELLE (RO 030483100);BPCE MUTUELLE (RC 51007990);;
AVENIR SANTE MUTUELLE (RO 030463100);BPCE MUTUELLE (RC 51007990);;
AVENIR SANTE MUTUELLE (RO 030503100);BPCE MUTUELLE (RC 51007990);;
AVENIR SANTE MUTUELLE (RO 030523100);BPCE MUTUELLE (RC 51007990);;
AVENIR SANTE MUTUELLE (RO 030523100);MENAGES PREVOYANT (RC 78000400);;
AVENIR SANTE MUTUELLE (RO 030473100);MENAGES PREVOYANT (RC 78000400);;
AVENIR SANTE MUTUELLE (RO 030503100);MENAGES PREVOYANT (RC 78000400);;
AVENIR SANTE MUTUELLE (RO 030483100);MENAGES PREVOYANT (RC 78000400);;
AVENIR SANTE MUTUELLE (RO 030463100);MENAGES PREVOYANT (RC 78000400);;
AVENIR SANTE MUTUELLE (RO 030523100);MGEN ACCES SANTE (RC 27011000);;
AVENIR SANTE MUTUELLE (RO 030483100);ACS CONTRAT A - BASE (RC 11111119);M;91
AVENIR SANTE MUTUELLE (RO 030503100);ACS CONTRAT A - BASE (RC 11111119);M;91
AVENIR SANTE MUTUELLE (RO 030523100);MGEN INTERNATIONALE (RC 27777777);;
AVENIR SANTE MUTUELLE (RO 030463100);AME PARTIELLE (RC 75500017);;
AVENIR SANTE MUTUELLE (RO 030473100);AME PARTIELLE (RC 75500017);;
AVENIR SANTE MUTUELLE (RO 030483100);AME PARTIELLE (RC 75500017);;
AVENIR SANTE MUTUELLE (RO 030503100);AME PARTIELLE (RC 75500017);;
AVENIR SANTE MUTUELLE (RO 030523100);ACS CONTRAT A - BASE (RC 11111119);M;91
AVENIR SANTE MUTUELLE (RO 030463100);MGEN ACCES SANTE (RC 27011000);;
AVENIR SANTE MUTUELLE (RO 030473100);MGEN ACCES SANTE (RC 27011000);;
AVENIR SANTE MUTUELLE (RO 030483100);MGEN ACCES SANTE (RC 27011000);;
AVENIR SANTE MUTUELLE (RO 030503100);MGEN ACCES SANTE (RC 27011000);;
AVENIR SANTE MUTUELLE (RO 030463100);CMU AUTRES (RC 88888888);M;89
AVENIR SANTE MUTUELLE (RO 030473100);CMU AUTRES (RC 88888888);M;89
AVENIR SANTE MUTUELLE (RO 030483100);CMU AUTRES (RC 88888888);M;89
AVENIR SANTE MUTUELLE (RO 030503100);CMU AUTRES (RC 88888888);M;89
AVENIR SANTE MUTUELLE (RO 030523100);CMU AUTRES (RC 88888888);M;89
AVENIR SANTE MUTUELLE (RO 030463100);ACS CONTRAT C - PREMIUM (RC 33333337);M;93
AVENIR SANTE MUTUELLE (RO 030473100);ACS CONTRAT C - PREMIUM (RC 33333337);M;93
AVENIR SANTE MUTUELLE (RO 030483100);ACS CONTRAT C - PREMIUM (RC 33333337);M;93
AVENIR SANTE MUTUELLE (RO 030503100);ACS CONTRAT C - PREMIUM (RC 33333337);M;93
AVENIR SANTE MUTUELLE (RO 030523100);AME PARTIELLE (RC 75500017);;
AVENIR SANTE MUTUELLE (RO 030463100);MGEN SANTE PREVOYANCE (RC 27200000);;
AVENIR SANTE MUTUELLE (RO 030473100);MGEN SANTE PREVOYANCE (RC 27200000);;
AVENIR SANTE MUTUELLE (RO 030483100);MGEN SANTE PREVOYANCE (RC 27200000);;
AVENIR SANTE MUTUELLE (RO 030503100);MGEN SANTE PREVOYANCE (RC 27200000);;
AVENIR SANTE MUTUELLE (RO 030523100);ACS CONTRAT C - PREMIUM (RC 33333337);M;93
AVENIR SANTE MUTUELLE (RO 030463100);ACS CONTRAT A - BASE (RC 11111119);M;91
AVENIR SANTE MUTUELLE (RO 030473100);ACS CONTRAT A - BASE (RC 11111119);M;91
CAIS. ASS.MAL. DES CULTES (RO 90100);ACS CONTRAT A - BASE (RC 11111119);M;91
CAIS. ASS.MAL. DES CULTES (RO 90100);MGEN INTERNATIONALE (RC 27777777);;
CAIS. ASS.MAL. DES CULTES (RO 90100);ACS CONTRAT C - PREMIUM (RC 33333337);M;93
CAIS. ASS.MAL. DES CULTES (RO 90100);CMU SORTANT (RC 55555551);;0
CAIS. ASS.MAL. DES CULTES (RO 90100);AME PARTIELLE (RC 75500017);;
CAIS. ASS.MAL. DES CULTES (RO 90100);CMU CPAM (RC 99999997);M;89
CAIS. ASS.MAL. DES CULTES (RO 90100);BPCE MUTUELLE (RC 51007990);;
CAIS. ASS.MAL. DES CULTES (RO 90100);MGEN ACCES SANTE (RC 27011000);;
CAIS. ASS.MAL. DES CULTES (RO 90100);MUTUELLE SORUAL (RC 67100149);;
CAIS. ASS.MAL. DES CULTES (RO 90100);MENAGES PREVOYANT (RC 78000400);;
CAIS. ASS.MAL. DES CULTES (RO 90100);CMU AUTRES (RC 88888888);M;89
CAIS. ASS.MAL. DES CULTES (RO 90100);ACS CONTRAT B - MEDIUM (RC 22222228);M;92
CAIS. ASS.MAL. DES CULTES (RO 90100);MGEN SANTE PREVOYANCE (RC 27200000);;
CAISSE DE PREVOYANCE (RO 04110);MGEN SANTE PREVOYANCE (RC 27200000);;
CAISSE DE PREVOYANCE (RO 04110);BPCE MUTUELLE (RC 51007990);;
CAISSE DE PREVOYANCE (RO 04110);MGEN ACCES SANTE (RC 27011000);;
CAISSE DE PREVOYANCE (RO 04110);CMU CPAM (RC 99999997);M;89
CAISSE DE PREVOYANCE (RO 04110);MUT ENTRAIN MARSEILLE (RC 13012091);;
CAISSE DE PREVOYANCE (RO 04110);ACS CONTRAT A - BASE (RC 11111119);M;91
CAISSE DE PREVOYANCE (RO 04110);MUT ENTRAIN REGION PARIS (RC 75049843);;
CAISSE DE PREVOYANCE (RO 04110);ACS CONTRAT C - PREMIUM (RC 33333337);M;93
CAISSE DE PREVOYANCE (RO 04110);MUT ENTRAIN LYON&REGION (RC 69106513);;
CAISSE DE PREVOYANCE (RO 04110);MUT ENTRAIN REGION DIJON (RC 21006101);;
CAISSE DE PREVOYANCE (RO 04110);CMU AUTRES (RC 88888888);M;89
CAISSE DE PREVOYANCE (RO 04110);CMU SORTANT (RC 55555551);;0
CAISSE DE PREVOYANCE (RO 04110);ACS CONTRAT B - MEDIUM (RC 22222228);M;92
CAISSE DE PREVOYANCE (RO 04110);MENAGES PREVOYANT (RC 78000400);;
CAISSE DE PREVOYANCE (RO 04110);AME PARTIELLE (RC 75500017);;
CAISSE DE PREVOYANCE (RO 04110);MUTUELLE SORUAL (RC 67100149);;
CAISSE DE PREVOYANCE (RO 04110);MGEN INTERNATIONALE (RC 27777777);;
CAISSE DE PREVOYANCE (RO 04110);MUT GENE DES CHEMINOTS (RC 75049884);;
CAISSE DE PREVOYANCE MULH (RO 030033200);CMU CPAM (RC 99999997);M;89
CAISSE DE PREVOYANCE MULH (RO 030033200);MGEN SANTE PREVOYANCE (RC 27200000);;
CAISSE DE PREVOYANCE MULH (RO 030033200);ACS CONTRAT A - BASE (RC 11111119);M;91
CAISSE DE PREVOYANCE MULH (RO 030033200);AME PARTIELLE (RC 75500017);;
CAISSE DE PREVOYANCE MULH (RO 030033200);ACS CONTRAT C - PREMIUM (RC 33333337);M;93
CAISSE DE PREVOYANCE MULH (RO 030033200);MGEN ACCES SANTE (RC 27011000);;
CAISSE DE PREVOYANCE MULH (RO 030033200);CMU AUTRES (RC 88888888);M;89
CAISSE DE PREVOYANCE MULH (RO 030033200);BPCE MUTUELLE (RC 51007990);;
CAISSE DE PREVOYANCE MULH (RO 030033200);ACS CONTRAT B - MEDIUM (RC 22222228);M;92
CAISSE DE PREVOYANCE MULH (RO 030033200);MENAGES PREVOYANT (RC 78000400);;
CAISSE DE PREVOYANCE MULH (RO 030033200);MUTUELLE SORUAL (RC 67100149);;
CAISSE DE PREVOYANCE MULH (RO 030033200);MGEN INTERNATIONALE (RC 27777777);;
CAISSE DE RET.ET PREV. CL (RO 10980);MGEN ACCES SANTE (RC 27011000);;
CAISSE DE RET.ET PREV. CL (RO 10980);ACS CONTRAT B - MEDIUM (RC 22222228);M;92
CAISSE DE RET.ET PREV. CL (RO 10980);MGEN SANTE PREVOYANCE (RC 27200000);;
