ID,ENSEIGNE,ADRESSE,COMPLEMENT,CODE POSTAL,COMMUNE,NATURE DU DEBIT
41,,12 av Pierre SŽmard,TABAC GARE SNCF VESTIBULE,1000,BOURG-EN-BRESSE,SpŽcial
42,,55 AV JEAN JAURES,TABAC,1000,BOURG-EN-BRESSE,Ordinaire permanent
43,,44 AV  DU MAIL,TABAC,1000,BOURG-EN-BRESSE,Ordinaire permanent
44,,35 R MONTESQUIEU,TABAC,1000,BOURG-EN-BRESSE,Ordinaire permanent
45,,45 GRANDE RUE,TABAC,1110,BRENOD,Ordinaire permanent
46,L' ESSENTIEL,125   grande rue,TABAC,1360,BRESSOLLES,Ordinaire permanent
47,L'EXCENTRIQUE,607 ROUTE DES ECOLES,TABAC,1470,BRIORD,Ordinaire permanent
48,EPICERIE DE CERDON,PLACE DE LA VIGNERONNE,TABAC,1450,CERDON,Ordinaire permanent
49,LE CERTINOIS,419  route de la mairie,TABAC,1240,CERTINES,Ordinaire permanent
50,,18 R JEROME LALANDE,TABAC,1250,CEYZERIAT,Ordinaire permanent
51,LE SERIEUX,Place de l'Eglise,TABAC,1350,CEYZERIEU,Ordinaire permanent
52,LE RELAIS DE LA DOMBES,PLACE DU MARCHE,TABAC,1320,CHALAMONT,Ordinaire permanent
53,LE MONTE CRISTO,234 grande rue,TABAC,1260,CHAMPAGNE-EN-VALROMEY,Ordinaire permanent
54,AU RENDEZ-VOUS,28 route de Seyssel,TABAC,1420,CHANAY,Ordinaire permanent
55,,LE BOURG,TABAC,1990,CHANEINS,Ordinaire permanent
56,VIVAL,CENTRE DE CHATILLON,CHATILLON EN MICHAILLE-TABAC-,1200,BELLEGARDE-SUR-VALSERINE,Ordinaire permanent
57,,720 route de GŽvrieux,TABAC,1320,CHATILLON-LA-PALUD,Ordinaire permanent
58,TABAC LE LOSANGE,87  Rue PASTEUR,TABAC,1400,CHATILLON-SUR-CHALARONNE,Ordinaire permanent
59,LE CELTIQUE,17 R PDT CARNOT,TABAC,1400,CHATILLON-SUR-CHALARONNE,Ordinaire permanent
60,,PL DE LA REPUBLIQUE,TABAC,1400,CHATILLON-SUR-CHALARONNE,Ordinaire permanent
61,,RUE DE LA FRANCHE COMTE,TABAC,1250,CHAVANNES-SUR-SURAN,Ordinaire permanent
62,L'INSTANT BRESSAN,15  rue de l'Odion,TABAC,1660,CHAVEYRIAT,Ordinaire permanent
63,,39 place de la mairie,TABAC,1150,CHAZEY-SUR-AIN,Ordinaire permanent
64,,GRANDE RUE,TABAC,1270,COLIGNY,Ordinaire permanent
65,BAR DE L'UNION,41 grand' rue,TABAC,1550,COLLONGES,Ordinaire permanent
66,BAR RESTAURANT TABAC DE LA PLACE,437 ROUTE DU LOGIS NEUF,TABAC CAFE RESTAURANT DE LA PLACE,1310,CONFRANCON,Ordinaire permanent
67,PHIL ING,15 RUE DU JET D'EAU,TABAC PHIL- ING ,1290,CORMORANCHE-SUR-SAONE,Ordinaire permanent
68,HïTEL DU CENTRE,6 place de la mairie,TABAC,1110,CORMARANCHE-EN-BUGEY,Ordinaire permanent
69,,109 rue centrale,TABAC,1560,CORMOZ,Ordinaire permanent
70,,2 Rue JOSEPH MARION,TABAC,1200,BELLEGARDE-SUR-VALSERINE,Ordinaire permanent
71,,R DE LA MAIRIE,TABAC,1350,CULOZ,Ordinaire permanent
72,TABAC-PRESSE-LOTO,1084 RTE DE GENEVE,TABAC,1120,DAGNEUX,Ordinaire permanent
73,,70  avenue de Genve,TABAC,1220,DIVONNE-LES-BAINS,Ordinaire permanent
74,LE CALUMET,19 place de l'Žglise,TABAC,1220,DIVONNE-LES-BAINS,Ordinaire permanent
75,,191  route de BŽrŽziat,TABAC,1380,DOMMARTIN,Ordinaire permanent
76,CAZITOU,13 place de la mairie,TABAC,1240,DOMPIERRE-SUR-VEYLE,Ordinaire permanent
77,,PLACE DE L'HOTEL DE VILLE,TABAC,1590,DORTAN,Ordinaire permanent
78,,25 PLACE DE LA BABILLIERE,TABAC,1500,DOUVRES,Ordinaire permanent
79,,259 route de flŽchres,TABAC,1480,FAREINS,Ordinaire permanent
80,,770 Grande rue,TABAC,1570,FEILLENS,Ordinaire permanent
81,,134 PLACE DU CAROUGE,TABAC,1340,FOISSIAT,Ordinaire permanent
82,,Rue Gagres,TABAC,1480,FRANS,Ordinaire permanent
83,RESTAURANT DE LA PLACE,17 place de la bascule,TABAC,1140,GARNERANS,Ordinaire permanent
84,CHEZ SANDRINE,LE VILLAGE,TABAC,1090,GENOUILLEUX,Ordinaire permanent
85,,48 R DE GENEVE,TABAC,1170,GEX,Ordinaire permanent
86,LES QUATRE VENTS,23 route de B‰gŽ ,LES QUATRE VENTS - TABAC,1190,GORREVOD,Ordinaire permanent
87,LE CATALPA,41 rue Gustave Lambert,-TABAC-,1290,GRIEGES,Ordinaire permanent
88,AUBERGE DE LA CALONNE,LE VILLAGE,TABAC,1090,GUEREINS,Ordinaire permanent
89,,5 ROUTE DE CIZE,TABAC,1250,HAUTECOURT-ROMANECHE,Ordinaire permanent
90,LE HAVANE,274 rue de  LA REPUBLIQUE,TABAC LE HAVANE,1110,HAUTEVILLE-LOMPNES,Ordinaire permanent
91,TABAC DES COLONNES,424 GRANDE RUE,TABAC,1580,IZERNORE,Ordinaire permanent
92,,349 RUE DU BEAUJOLAIS,TABAC,1480,JASSANS-RIOTTIER,Ordinaire permanent
93,,258 RUE CHARLES ROBIN,TABAC,1250,JASSERON,Ordinaire permanent
94,,PL DE L HOTEL DE VILLE,TABAC,1640,JUJURIEUX,Ordinaire permanent
95,CHEZ YANN ET VAL CHAMOUSSET,24 R PASTEUR,TABAC,1150,LAGNIEU,Ordinaire permanent
96,,PL DE LA LIBERTE,TABAC  BP 30004,1150,LAGNIEU,Ordinaire permanent
97,TABAC PRESSE LA VALSERINE,LE VILLAGE,TABAC,1410,LELEX,Ordinaire permanent
98,,LE BOURG,TABAC,1560,LESCHEROUX,Ordinaire permanent
99,,2 rue de la mairie,TABAC,1150,LEYMENT,Ordinaire permanent
100,,LE BOURG,TABAC,1680,LOMPNAS,Ordinaire permanent
101,,116  ROUTE NATIONALE,TABAC,1110,HAUTEVILLE-LOMPNES,Ordinaire permanent
102,LE CHAMOIS,25 RUE DU BUGEY,TABAC,1360,LOYETTES,Ordinaire permanent
103,CAFE DE LA PLACE,21 route des grands moulins,TABAC,1430,MAILLAT,Ordinaire permanent
104,,1230 GRANDE ROUTE,TABAC,1570,MANZIAT,Ordinaire permanent
105,,49 GRANDE RUE,TABAC,1851,MARBOZ,Ordinaire permanent
106,,64 GRANDE RUE,TABAC,1851,MARBOZ,Ordinaire permanent
107,AU PANIER GOURMAND,78  route de la LŽchre,TABAC,1340,MARSONNAS,Ordinaire permanent
108,LE COMPTOIR DE MARIE,190 grande rue,TABAC LE COMPTOIR DE MARIE,1100,MARTIGNAT,Ordinaire permanent
109,,6 rue du Mollard,TABAC,1370,MEILLONNAS,Ordinaire permanent
110,TABAC LE CARILLON,4  rue de Genve,TABAC,1800,MEXIMIEUX,Ordinaire permanent
111,,3  ROUTE DE LYON,TABAC,1800,MEXIMIEUX,Ordinaire permanent
112,,120 GRANDE RUE,TABAC,1660,MEZERIAT,Ordinaire permanent
113,,114 RUE PRINCIPALE,TABAC,1390,MIONNAY,Ordinaire permanent
114,LE MARILLIAN,LE MAS RILLIER,TABAC,1700,MIRIBEL,Ordinaire permanent
115,LA COTIERE,1146 grande rue,TABAC,1700,MIRIBEL,Ordinaire permanent
116,LA TERRASSE,898 GRANDE RUE,TABAC,1700,MIRIBEL,Ordinaire permanent
117,,place du village,TABAC,1470,MONTAGNIEU,Ordinaire permanent
118,,HM LES GRANGES,TABAC,1470,MONTAGNIEU,Ordinaire permanent
119,CHEZ LA MERE BOUVIER,LE VILLAGE 19 RUE DE LA MAIRIE,TABAC,1310,MONTCET,Ordinaire permanent
120,,235 GRANDE RUE,TABAC,1120,MONTLUEL,Ordinaire permanent
121,LE CARNOT,12 PL CARNOT,TABAC,1120,MONTLUEL,Ordinaire permanent
122,LES TROIS RIVIERES,1 PL DE LA LIBERTE,TABAC,1090,MONTMERLE-SUR-SAONE,Ordinaire permanent
123,LE STROMBOLI,8 R DE MACON,TABAC,1090,MONTMERLE-SUR-SAONE,Ordinaire permanent
124,MAISON DE LA PRESSE,7 rue des Savoies,TABAC,1460,MONTREAL-LA-CLUSE,Ordinaire permanent
125,MAISON DE LA PRESSE,11 GRANDE RUE,TABAC,1360,MONTREVEL-EN-BRESSE,Ordinaire permanent
126,LE PADDY'S BAR,45 route du berthiand,TABAC,1460,NURIEUX-VOLOGNAT,Ordinaire permanent
127,AU PECHEUR QUI FUME,76 R DU DOCTEUR MERCIER,TABAC,1130,NANTUA,Ordinaire permanent
128,MAISON DE LA PRESSE,24 R DU COLLEGE,TABAC,1130,NANTUA,Ordinaire permanent
129,,53 R DOCTEUR MERCIER,TABAC,1130,NANTUA,Ordinaire permanent
130,,185 RUE DE LA POSTE,TABAC,1400,NEUVILLE-LES-DAMES,Ordinaire permanent
131,L'ESTAMINET,84 RTE DE GENEVE,TABAC,1700,NEYRON,Ordinaire permanent
132,A LA CIVETTE,96 R ANATOLE FRANCE,TABAC,1100,OYONNAX,Ordinaire permanent
133,LES 5 PASSAGES,29 R VOLTAIRE,TABAC,1100,OYONNAX,Ordinaire permanent
134,LE LUTETIA,7 PL EMILE ZOLA TABAC,TABAC,1100,OYONNAX,Ordinaire permanent
135,,48 R ANATOLE FRANCE,TABAC,1100,OYONNAX,Ordinaire permanent
136,BRASSERIE DU CHEMIN DE FER,38 R MICHELET,TABAC,1100,OYONNAX,Ordinaire permanent
137,O P'TIT MARCHE D'OZAN,706 grande rue,TABAC,1190,OZAN,Ordinaire permanent
138,,1508 AV DE LYON,TABAC BP 60008,1960,PERONNAS,Ordinaire permanent
139,CAFE DE LA MAIRIE,810 ROUTE DE BOURG,TABAC,1120,PIZAY,Ordinaire permanent
140,AU COEUR DE LA DOMBES,LE VILLAGE,TABAC,1330,LE-PLANTAY,Ordinaire permanent
141,TABAC LE 2J,323 rue de la TraversŽe,TABAC,1130,POIZAT- LALLEYRIAT,Ordinaire permanent
142,,14 route de M‰con,TABAC,1310,POLLIAT,Ordinaire permanent
143,,23 PL BICHAT,TABAC,1450,PONCIN,Ordinaire permanent
144,,4 R BERNARD GANGLOF,TABAC,1160,PONT-DAIN,Ordinaire permanent
145,CHEZ JOSI,291  route de Neuville - OUSSIAT,TABAC,1160,PONT-DAIN,Ordinaire permanent
146,L'ATMOSPHERE,83 R MARECHAL DE LATTRE,TABAC,1190,PONT-DE-VAUX,Ordinaire permanent
147,LE COMPTOIR DU PORT,12 R ANDRE,TABAC,1190,PONT-DE-VAUX,Ordinaire permanent
148,LE BELLECOUR,65 grande rue,TABAC,1290,PONT-DE-VEYLE,Ordinaire permanent
149,LA TRUITE A L'OMBRE,156 grande rue de la C™tire,TABAC,1160,PRIAY,Ordinaire permanent
150,,LE VILLAGE,TABAC,1510,PUGIEU,Ordinaire permanent
151,,1227 route du creux,TABAC,1750,REPLONGES,Ordinaire permanent
152,PRESSE TALAN‚ONNAISE,4 RUE DE LA PLACE,TABAC,1600,REYRIEUX,Ordinaire permanent
153,,5 Grande rue,TABAC,1380,SAINT-ANDRE-DE-BAGE,Ordinaire permanent
154,,101 route de Bourg,TABAC,1390,SAINT-ANDRE-DE-CORCY,Ordinaire permanent
155,VIVAL,353 avenue Suzanne Valadon,TABAC,1600,SAINT-BERNARD,Ordinaire permanent
156,,1250 avenue de TrŽvoux,TABAC,1000,SAINT-DENIS-LES-BOURG,Ordinaire permanent
157,CHEZ VAL',5 Rue du DOCTEUR CHARCOT,TABAC,1780,SAINT-DENIS-EN-BUGEY,Ordinaire permanent
158,,83 RUE DE L'EGLISE,TABAC,1140,SAINT-DIDIER-SUR-CHALARONNE,Ordinaire permanent
159,L ALLIANCE,371 B Rue Centrale,TABAC,1370,SAINT-ETIENNE-DU-BOIS,Ordinaire permanent
160,RELAIS DU FORMANS,ROUTE D'ARS,TABAC,1600,SAINTE-EUPHEMIE,Ordinaire permanent
161,,RUE DU COMMERCE,TABAC,1130,SAINT-GERMAIN-DE-JOUX,Ordinaire permanent
162,,259 grande rue,TABAC,1640,SAINT-JEAN-LE-VIEUX,Ordinaire permanent
163,,LE BOURG,TABAC,1560,SAINT-JEAN-SUR-REYSSOUZE,Ordinaire permanent
164,,125 GRANDE RUE,TABAC,1560,SAINT-JULIEN-SUR-REYSSOUZE,Ordinaire permanent
165,LE SAINT JUST,4 place du centre,TABAC,1250,SAINT-JUST,Ordinaire permanent
166,,46 R DE LA LEVEE,TABAC,1750,SAINT-LAURENT-SUR-SAONE,Ordinaire permanent
167,,1 place d'ArmŽnie,TABAC,1700,SAINT-MAURICE-DE-BEYNOST,Ordinaire permanent
168,,4 place de l'Žglise,TABAC,1800,SAINT-MAURICE-DE-GOURDANS,Ordinaire permanent
169,LA PT'ITE TENTATION,AU VILLAGE,TABAC,1320,SAINT-NIZIER-LE-DESERT,Ordinaire permanent
170,,RUE DE LA DOMBES,TABAC,1240,SAINT-PAUL-DE-VARAX,Ordinaire permanent
171,CHEZ PIPPO,78 R DOCTEUR TEMPORAL,TABAC,1230,SAINT-RAMBERT-EN-BUGEY,Ordinaire permanent
172,LA POUPONNE,117 grande rue,TABAC,1150,SAINT-SORLIN-EN-BUGEY,Ordinaire permanent
173,MAISON DE LA PRESSE,12 GRANDE RUE,TABAC,1560,SAINT-TRIVIER-DE-COURTES,Ordinaire permanent
174,TABAC PRESSE UTINGEOIS,1 PL DE LA MAIRIE,TABAC,1990,SAINT-TRIVIER-SUR-MOIGNANS,Ordinaire permanent
175,,48 GRANDE RUE ,TABAC,1150,SAULT-BRENAZ,Ordinaire permanent
176,,1 RUE DE L'EGLISE,TABAC,1470,SERRIERES-DE-BRIORD,Ordinaire permanent
177,AU RENDEZ VOUS DES AMAIS,64  rue principale - Le Village,TABAC,1960,SERVAS,Ordinaire permanent
178,,235  rue du village,TABAC,1400,SULIGNAT,Ordinaire permanent
179,TABAC DE L'ALBARINE,2 PL DU PONT,TABAC,1230,TENAY,Ordinaire permanent
180,VIVAL,251 rue de la mairie,TABAC,1120,THIL,Ordinaire permanent
181,,CENTRE COMMERCIAL VAL THOIRY,TABAC,1710,THOIRY,Ordinaire permanent
182,LE P'TIT MEGOT,17 Grande rue,TABAC,1140,THOISSEY,Ordinaire permanent
183,CAVEAU DU REVERMONT,5-6 place du champ de foire,TABAC - TREFFORT,1370,VAL-REVERMONT,Ordinaire permanent
184,,5 Grande rue,TABAC,1600,TREVOUX,Ordinaire permanent
185,TABAC DU PALAIS,8 R DU PALAIS,TABAC,1600,TREVOUX,Ordinaire permanent
186,LE CHRISTINE,Le Bourg,TABAC,1660,VANDEINS,Ordinaire permanent
187,,176  Grande Rue,TABAC,1150,VAUX-EN-BUGEY,Ordinaire permanent
188,,747 AVENUE CHARLES DE GAULLE ,TABAC,1330,VILLARS-LES-DOMBES,Ordinaire permanent
189,LE VALION,100 route de Villefranche,,1480,VILLENEUVE,Ordinaire permanent
190,,4 place de la gare,TABAC,1250,VILLEREVERSURE,Ordinaire permanent
191,,61 rue de la gare,TABAC,1800,VILLIEU-LOYES-MOLLON,Ordinaire permanent
192,,319 RUE PROSPER CONVERT,TABAC,1440,VIRIAT,Ordinaire permanent
193,LE PAPYRUS,64 rue de la gare,TABAC,1510,VIRIEU-LE-GRAND,Ordinaire permanent
194,EPICERIE PROXI,PLACE DE LA LIBERTE,TABAC,1300,VIRIGNIN,Ordinaire permanent
195,,28 rue Claude MOREL,TABAC,1540,VONNAS,Ordinaire permanent
196,HOTEL RESTAURANT MARINET,369  rue du bugey,TABAC,1200,CHATILLON-EN-MICHAILLE,Ordinaire permanent
197,LE COMPTOIR DE CHARNOZ,30 rue du gŽnŽral Messimy,TABAC,1800,CHARNOZ-SUR-AIN,Ordinaire permanent
198,MAISON DE LA PRESSE ,6 route de Lyon,MAISON DE LA PRESSE,1630,SAINT-GENIS-POUILLY,Ordinaire permanent
199,LA DUCHESSE DE SAVOIE,168 BIS BOULEVARD DE BROU,TABAC,1000,BOURG-EN-BRESSE,Ordinaire permanent
200,,9 BD IRENE JOLIOT CURIE,TABAC,1000,BOURG-EN-BRESSE,Ordinaire permanent
201,,24 RUE NORMANDIE NIEMEN,TABAC,1100,OYONNAX,Ordinaire permanent
202,LIBRAIRIE DU LYCEE,65 R DE VERSOIX,TABAC,1210,FERNEY-VOLTAIRE,Ordinaire permanent
203,,2-2b rue Robert Schuman,TABAC,1000,BOURG-EN-BRESSE,Ordinaire permanent
204,LE DETOUR,243 rue du bourg,TABAC,1480,MESSIMY-SUR-SAONE,Ordinaire permanent
205,RESTO'KEV LE PICHET,485 rue Philibert le Beau,LIEU DIT MARCILLIEUX   TABAC,1150,SAINT-VULBAS,Ordinaire permanent
206,LE ROYAL BAR,20 AV FP DE DOUGLAS,TABAC,1460,MONTREAL-LA-CLUSE,Ordinaire permanent
207,BAR TABAC DE LA BASCULE,13 route de Lyon,TABAC,1390,CIVRIEUX,Ordinaire permanent
208,MULTISERVICES,308 rue louis Franois Jambon,TABAC,1250,TOSSIAT,Ordinaire permanent
209,,105  route de la Boisse,TABAC,1390,TRAMOYES,Ordinaire permanent
210,VIVAL,50  place de la forge,TABAC,1210,VERSONNEX,Ordinaire permanent
211,EPICERIE DU PLATANE,42 PLACE ARISTIDE BRIAND ,TABAC,1120,NIEVROZ,Ordinaire permanent
212,ZIGOU'FRAIS,135 chemin de l'Žglise ,TABAC,1250,MONTAGNAT,Ordinaire permanent
213,L'ESTANCO,RUE DES RONDES,TABAC,1800,PEROUGES,Ordinaire saisonnier
214,LA GENETIERE,PARC DE LA GENETIERE,TABAC,1600,MASSIEUX,Ordinaire permanent
215,,143 PLACE LIMELETTE,TABAC,1480,JASSANS-RIOTTIER,Ordinaire permanent
216,,C CIAL LES ARCADES,TABAC,1210,ORNEX,Ordinaire permanent
217,,88 CHEMIN DE L EGLISE,TABAC,1280,PREVESSIN-MOENS,Ordinaire permanent
218,,R DE LA MAIRIE,LES RESIDENCES DE CESSY-TABAC-,1170,CESSY,Ordinaire permanent
219,,PLACE DE LA MAIRIE,TABAC,1150,BLYES,Ordinaire permanent
220,VIVAL,rue de la poste,TABAC,1800,SAINT-JEAN-DE-NIOST,Ordinaire permanent
221,VIVAL,IMMEUBLE LES TAMARIS,ALLEE DES LAURIERS-TABAC-,1390,SAINT-MARCEL,Ordinaire permanent
222,,55 rue de l'Žglise,TABAC,1480,SAVIGNEUX,Ordinaire permanent
223,,ZAC DU PRE DES SAULES,TABAC,1810,BELLIGNAT,Ordinaire permanent
224,,230 BRIAND-STRESEMANN,TABAC,1710,THOIRY,Ordinaire permanent
225,,1 rue Marcel VION,IMMEUBLE VION-TABAC-,1800,MEXIMIEUX,Ordinaire permanent
226,EPICERIE VIVAL,69  route de GroslŽe - Le bourg,TABAC,1300,GROSLEE-SAINT-BENOIT,Ordinaire permanent
227,TABAC DU TIRET,108 R ALEXANDRE BERARD,TABAC,1500,AMBERIEU-EN-BUGEY,Ordinaire permanent
228,,Centre Commercial LES VERTES CAMPAGNES,TABAC-,1170,GEX,Ordinaire permanent
229,,46 rue RenŽ Nicod,TABAC- CC LA LICORNE,1100,OYONNAX,Ordinaire permanent
230,VIVAL,370 GR  GIGNIEZ,TABAC,1420,CORBONOD,Ordinaire permanent
231,AU BON ACCUEIL,75 R CHARLES DE GAULLE,,2800,ACHERY,Ordinaire permanent
232,,25 R DU 7E BCA,TABAC,2320,PINON,Ordinaire permanent
233,,17 LD  BELLEVUE,TABAC,2500,ANY-MARTIN-RIEUX,Ordinaire permanent
234,LE CAFE DE LA PLACE,7 RUE TOUR DE PLACE,,2000,AULNOIS-SOUS-LAON,Ordinaire permanent
235,,2 RUE DU GƒNƒRAL DE GAULLE,TABAC,2160,BEAURIEUX,Ordinaire permanent
236,LA ROTONDE,13 RTE DE TERGNIER,,2800,BEAUTOR,Ordinaire permanent
237,,1 R DU CANAL,TABAC,2800,BEAUTOR,Ordinaire permanent
238,LE CHAMBELLAN,9. PLACE VIOLET,,2200,BELLEU,Ordinaire permanent
239,,39 R DE PICARDIE,TABAC,2420,BELLICOURT,Ordinaire permanent
240,LE NATIONAL,14 AVENUE DU GENERAL DE GAULLE,,2190,BERRY-AU-BAC,Ordinaire permanent
241,A LA TETE NOIRE,14 R ANNE MORGAN,"TABAC ""A LA TETE NOIRE""",2300,BLERANCOURT,Ordinaire permanent
242,,8 PLACE DU GENERAL DE GAULLE,,2110,BOHAIN-EN-VERMANDOIS,Ordinaire permanent
243,,1 R PAULIN PECQUEUX,TABAC,2110,BOHAIN-EN-VERMANDOIS,Ordinaire permanent
244,L'ESTARIS,8 PLACE MICHEL PEZIN,,2110,BOHAIN-EN-VERMANDOIS,Ordinaire permanent
245,LA TABATIERE,2 RUE DU REJET,,2450,BOUE,Ordinaire permanent
246,,PL DU ROND-POINT,TABAC,2160,BOURG-ET-COMIN,Ordinaire permanent
247,LE NEMROD CAFE,18 RUE QUINQUET,,2880,BUCY-LE-LONG,Ordinaire permanent
248,,30 ROUTE NATIONALE,CHEZ SANDRINE,2620,BUIRONFOSSE,Ordinaire permanent
249,,63 AV DU GENERAL DE GAULLE,TABAC LE LONGCHAMP,2260,LA-CAPELLE,Ordinaire permanent
250,,20 R DU GENERAL AUGEREAU,TABAC,2420,LE-CATELET,Ordinaire permanent
251,,12 R JEAN-JAURES,TABAC,2000,CHAMBRY,Ordinaire permanent
252,,6 PL DE LA MAIRIE,TABAC,2370,CHASSEMY,Ordinaire permanent
253,,3 R DRUGEON LECART,TABAC LE CHIQUITO,2400,CHATEAU-THIERRY,Ordinaire permanent
254,LE TERMINUS,4 R DE CHIERRY,LE TERMINUS,2400,CHATEAU-THIERRY,Ordinaire permanent
255,,90 AV DE SOISSONS,TABAC,2400,CHATEAU-THIERRY,Ordinaire permanent
256,,44 R PASTEUR,TABAC LE CAPRICORNE,2300,CHAUNY,Ordinaire permanent
257,LE PICARD,26 PLACE DU BROUAGE,LE PICARD,2300,CHAUNY,Ordinaire permanent
258,LE BRAZZA,103 R DE LA CHAUSSEE,,2300,CHAUNY,Ordinaire permanent
259,LA ROTONDE,23 PL HOTEL DE VILLE,,2300,CHAUNY,Ordinaire permanent
260,LE BALTO,12 PL DU MARCHE COUVERT,TABAC LE BALTO,2300,CHAUNY,Ordinaire permanent
261,,67 R GANTON,TABAC LE FONTENOY,2300,CHAUNY,Ordinaire permanent
262,,9 R DE L ORMET,TABAC HOTEL DE L-EST,2330,CONDE-EN-BRIE,Ordinaire permanent
263,,5 R DU POT D ETAIN,TABAC,2380,COUCY-LE-CHATEAU-AUFFRIQUE,Ordinaire permanent
264,,103 R PRINCIPALE,TABAC,2840,COUCY-LES-EPPES,Ordinaire permanent
265,,18 R MALEZIEUX BRIQUET,TABAC LE PAPA GALOP,2870,CREPY,Ordinaire permanent
266,LE CAFE DE LA GARE,1 AV  DU GENERAL PATTON,TABAC,2880,CROUY,Ordinaire permanent
267,,13 R DU BELVEDERE,TABAC,2880,CUFFIES,Ordinaire permanent
268,LE CARRE D'AS,1 RUE CHURCHILL,,2400,ESSOMES-SUR-MARNE,Ordinaire permanent
269,,4 RUE NERVO,AU BON COIN,2400,ETAMPES-SUR-MARNE,Ordinaire permanent
