Symbol,Name,"Market Cap","P/E ttm","EPS ttm","Net Income(a)",Beta,Dividend(a),"Div Yield"
APA,"Apache Corp",8109436000,19.17,1.15,40000000,1.8,1,4.64%
APD,"Air Products and Chemicals",49782600000,28.23,7.95,1497800000,0.84,4.64,2.05%
APH,"Amphenol Corp",26038598000,22.64,3.87,1205000000,1.02,0.92,1.05%
APTV,"Aptiv Plc",21307570000,16.79,4.96,1067000000,2.06,0.88,1.06%
ARE,"Alexandria Real Estate Equities",16994552000,22.03,3.47,379310000,0.74,4,2.67%
ARNC,"Arconic Inc",11374458000,15.55,1.66,642000000,1.5,0.08,0.31%
ATO,"Atmos Energy Corp",13029295000,25.64,4.29,603060000,0.22,2.1,1.91%
ATVI,"Activision Blizzard",38811516000,22.16,2.3,1813000000,0.9,0.37,0.73%
AVB,"Avalonbay Communities",29685488000,23.14,6.62,974530000,0.53,6.08,2.86%
AVGO,"Broadcom Ltd",112511640000,15.34,18.47,12259000000,0.92,10.6,3.75%
AVY,"Avery Dennison Corp",9730185000,18.64,6.17,467400000,1.32,2.32,2.01%
AWK,"American Water Works",23000738000,36.89,3.44,567000000,0.17,2,1.57%
AXP,"American Express Company",99867864000,15.68,7.7,6921000000,1.05,1.56,1.30%
AZO,Autozone,27023342000,18.72,59.49,1337540000,0.65,0,0.00%
BA,"Boeing Company",204877088000,23.96,15.14,10460000000,1.27,8.22,2.26%
BAC,"Bank of America Corp",256071328000,9.76,2.8,28147000000,1.54,0.6,2.18%
BAX,"Baxter International Inc",44903400000,27.09,3.23,1624000000,1,0.88,1.00%
BBT,"BB&T Corp",36500380000,11.16,4.25,3237000000,1.12,1.8,3.78%
BBY,"Best Buy CO",16997288000,11.04,5.58,1464000000,1.06,2,3.14%
BDX,"Becton Dickinson and Company",68546720000,22.57,11.3,311000000,1.11,3.08,1.21%
BEN,"Franklin Resources",13236369000,9.76,2.7,764400000,1.17,1.04,3.96%
BF.B,"Brown Forman Inc Cl B",28154336000,34.42,1.73,835000000,0.7,0.66,1.13%
BHGE,"Baker Hughes A Ge Co. Cl A",22512378000,27.35,0.8,195000000,0.91,0.72,3.32%
BIIB,"Biogen Inc",40532228000,7.21,30.52,4430700000,0.99,0,0.00%
BK,"Bank of New York Mellon Corp",39648364000,10.43,4,4266000000,1.07,1.24,2.95%
BKNG,"Booking Holdings Inc",83596024000,20.59,95.03,3998000000,1.14,0,0.00%
BLK,Blackrock,65316360000,15.85,26.62,4305000000,1.51,13.2,3.12%
BLL,"Ball Corp",26696362000,35.91,2.24,454000000,0.8,0.6,0.75%
BMY,"Bristol-Myers Squibb Company",78631272000,11.2,4.31,4920000000,0.73,1.64,3.41%
BR,"Broadridge Financial Solutions Llc",14792790000,27.97,4.66,482100000,0.72,1.94,1.50%
BRK.B,"Berkshire Hathaway Cl B",498571136000,20.59,9.87,4021000000,0.86,0,0.00%
BSX,"Boston Scientific Corp",59521736000,28.95,1.48,1671000000,0.8,0,0.00%
BWA,"Borgwarner Inc",6738584000,7.78,4.21,930700000,1.82,0.68,2.08%
BXP,"Boston Properties",19849622000,19.03,3.42,582850000,0.87,3.8,2.96%
C,"Citigroup Inc",145370240000,9.06,7.05,18045000000,1.76,2.04,3.17%
CAG,"Conagra Brands Inc",13786647000,14.22,2.01,678300000,0.86,0.85,3.00%
CAH,"Cardinal Health",12858520000,8.01,5.28,1363000000,1.28,1.92,4.46%
CAT,"Caterpillar Inc",66948088000,10.53,11.18,6147000000,1.52,4.12,3.46%
CB,"Chubb Ltd",71224456000,16.44,9.57,3962000000,0.72,3,1.92%
CBOE,"CBOE Global Markets Inc",13308027000,24.57,4.84,425200000,0.11,1.44,1.21%
CBRE,"CBRE Group Inc",17580282000,14.34,3.6,1063220000,1.7,0,0.00%
CBS,"CBS Corp",15758452000,8.04,5.27,1960000000,1.17,0.72,1.71%
CCI,"Crown Castle International Corp",60355152000,25.41,1.73,671000000,0.33,4.5,3.10%
CCL,"Carnival Corp",23228310000,10.45,4.21,3153000000,1.08,2,4.54%
CDNS,"Cadence Design Sys",19184880000,45.71,1.51,345780000,1.15,0,0.00%
CE,"Celanese Corp",14028403000,10.81,10.34,1207000000,1.39,2.48,2.19%
CELG,"Celgene Corp",68606136000,10.65,9.12,4046000000,1.46,0,0.00%
CERN,"Cerner Corp",21940532000,30,2.3,630060000,0.92,0.72,1.04%
CF,"Cf Industries Holdings",10521130000,25.53,1.89,290000000,0.92,1.2,2.49%
CFG,"Citizens Financial Group Inc/Ri",15084716000,8.81,3.8,1721000000,1.45,1.44,4.27%
CHD,"Church & Dwight Company",19713318000,33.03,2.42,568600000,0.18,0.91,1.14%
CHRW,"C.H. Robinson Ww",11438087000,16.93,4.97,664510000,0.65,2,2.37%
CHTR,"Charter Communicatio",90714768000,69.02,5.9,1230000000,1.23,0,0.00%
CI,"Cigna Corp",58140460000,10.52,14.5,2637000000,0.7,0.04,0.03%
CINF,"Cincinnati Financial",18373664000,30.29,3.72,287000000,0.65,2.24,1.99%
CL,"Colgate-Palmolive Company",63621144000,26.04,2.85,2400000000,0.76,1.72,2.32%
CLX,"Clorox Company",19887354000,25.12,6.34,820000000,0.37,4.24,2.68%
CMA,"Comerica Inc",9208105000,7.86,7.83,1235000000,1.45,2.68,4.35%
CMCSA,"Comcast Corp A",201160976000,15.61,2.83,11731000000,1.08,0.84,1.90%
CME,"CME Group Inc",77810240000,32.68,6.6,1962200000,0.23,3,1.38%
CMG,"Chipotle Mexican Grill",23243508000,74.86,11.27,176550000,0.72,0,0.00%
CMI,"Cummins Inc",23552716000,9.32,16,2141000000,1.14,5.24,3.51%
CMS,"Cms Energy Corp",17892770000,30.45,2.07,657000000,0.15,1.53,2.43%
CNC,"Centene Corp",19282266000,10.73,4.32,900000000,0.83,0,0.00%
CNP,"Centerpoint Energy Inc",13906444000,17.71,1.56,368000000,0.46,1.15,4.15%
COF,"Capital One Financial Corp",40740248000,7.66,11.26,6015000000,1.24,1.6,1.85%
COG,"Cabot Oil & Gas Corp",7162854000,9.52,1.81,557040000,0.51,0.36,2.10%
COO,"Cooper Companies",15328905000,27.57,11.69,139900000,0.9,0.06,0.02%
COP,Conocophillips,57927208000,11.62,4.5,6257000000,0.99,1.22,2.34%
COST,"Costco Wholesale",129632208000,37.68,7.87,3134000000,0.95,2.6,0.88%
COTY,"Coty Inc",7175851000,14.61,0.62,-168800000,0.69,0.5,5.24%
CPB,"Campbell Soup Company",13551750000,18.27,2.37,261000000,0.51,1.4,3.11%
CPRI,"Capri Holdings Ltd",3998654000,5.76,4.61,543000000,0.73,0,0.00%
CPRT,"Copart Inc",17272830000,36.59,2.07,417870000,0.82,0,0.00%
CRM,"Salesforce.com Inc",136873392000,106.8,1.46,1110000000,1.27,0,0.00%
CSCO,"Cisco Systems Inc",200381120000,16.76,2.82,11621000000,1.18,1.4,2.99%
CSX,"CSX Corp",53493756000,15.99,4.16,3309000000,1.21,0.96,1.43%
CTAS,"Cintas Corp",27036068000,34.82,7.6,884980000,0.99,2.05,0.78%
CTL,Centurylink,12412952000,8.38,1.35,-1733000000,0.85,1,8.79%
CTSH,"Cognizant Tech Sol",33905144000,15.62,3.93,2101000000,1.01,0.8,1.30%
CTVA,"Corteva Inc",21957542000,0,1.42,-4991000000,N/A,0.52,1.77%
CTXS,"Citrix Systems Inc",12171268000,22.57,4.11,575670000,1.01,1.4,1.51%
CVS,"CVS Corp",79226272000,8.15,7.38,-594000000,0.9,2,3.28%
CVX,"Chevron Corp",223481760000,15.01,7.83,14824000000,1,4.76,4.04%
CXO,"Concho Resources Inc",14708929000,19.28,3.77,2286000000,1.15,0.5,0.68%
D,"Dominion Resources",62366932000,19.89,3.91,2447000000,0.25,3.67,4.73%
DAL,"Delta Air Lines Inc",37620628000,9.03,6.41,3935000000,1.18,1.61,2.78%
DD,"Du Pont De.Nemours Inc",50640592000,7.88,8.35,3844000000,1.44,1.2,1.77%
DE,"Deere & Company",49105852000,15.54,10.07,2368400000,1.1,3.04,1.96%
DFS,"Discover Financial Services",25449732000,9.36,8.55,2742000000,1.55,1.76,2.20%
DG,"Dollar General Corp",40321636000,24.7,6.1,1589470000,0.67,1.28,0.82%
DGX,"Quest Diagnostics Inc",13786167000,16.59,6.17,736000000,0.88,2.12,2.07%
DHI,"D.R. Horton",18294996000,11.82,4.17,1460300000,1.08,0.6,1.21%
DHR,"Danaher Corp",101930816000,30.53,4.64,2650900000,0.94,0.68,0.48%
DIS,"Walt Disney Company",247257280000,21.95,6.28,12598000000,0.96,1.76,1.28%
DISCA,"Discovery Comm A",14838285000,8.92,3.11,594000000,1.53,0,0.00%
DISCK,"Discovery Comm Inc",13994223000,8.4,3.11,594000000,1.43,0,0.00%
DISH,"Dish Network Corp",15771959000,12.45,2.71,1575090000,1.4,0,0.00%
DLR,"Digital Realty Trust",25757444000,18.5,0.96,331250000,0.43,4.32,3.49%
DLTR,"Dollar Tree Inc",24121396000,18.89,5.4,-1590800000,0.52,0,0.00%
DOV,"Dover Corp",13633358000,16.5,5.59,570270000,1.48,1.96,2.09%
DOW,"Dow Inc",31683128000,0,0.86,4499000000,N/A,2.8,6.57%
DRE,"Duke Realty Corp",11958170000,23.96,0.64,383730000,0.73,0.86,2.58%
DRI,"Darden Restaurants",14890219000,20.93,5.82,713400000,0.32,3.52,2.91%
DTE,"Dte Energy Company",23766938000,21.38,6.08,1120000000,0.24,3.78,2.92%
DUK,"Duke Energy Corp",67570456000,19.13,4.85,2666000000,0.12,3.78,4.08%
DVA,"Davita Healthcare Partners Inc",9036111000,15.46,3.59,159390000,1.59,0,0.00%
DVN,"Devon Energy Corp",8888358000,14.83,1.52,3064000000,2.27,0.36,1.64%
DXC,"Dxc Technology Company",8702378000,4.03,8.18,1257000000,1.74,0.84,2.53%
EA,"Electronic Arts Inc",27608152000,25.7,3.62,1019000000,1.01,0,0.00%
EBAY,"Ebay Inc",33793800000,18.17,2.23,2530000000,1.37,0.56,1.39%
ECL,"Ecolab Inc",59366116000,37.5,5.52,1429100000,0.84,1.84,0.89%
ED,"Consolidated Edison Company of New York",29527604000,20.55,4.29,1382000000,0.1,2.96,3.33%
EFX,"Equifax Inc",17695000000,27.1,5.39,299800000,1.26,1.56,1.07%
EIX,"Edison International",25575630000,15.34,4.71,-302000000,0.13,2.45,3.39%
EL,"Estee Lauder Companies",71425888000,38.13,5.34,1785000000,0.81,1.72,0.87%
EMN,"Eastman Chemical Company",8955298000,8.62,7.49,1080000000,1.33,2.48,3.79%
EMR,"Emerson Electric Company",36653868000,17.34,3.41,2203000000,1.32,1.96,3.29%
EOG,"Eog Resources",43079392000,13.57,5.49,3419040000,1.31,1.15,1.55%
EQIX,"Equinix Inc",44983580000,25.4,6.04,365360000,0.73,9.84,1.77%
EQR,"Equity Residential",31433500000,25.16,2,657540000,0.51,2.27,2.68%
ES,"Eversource Energy",25930226000,23.86,3.37,1033000000,0.23,2.14,2.67%
ESS,"Essex Property Trust",21115774000,24.93,6.21,390150000,0.37,7.8,2.43%
ETFC,"E*Trade Finl Corp",10212568000,9.7,4.27,1052000000,1.15,0.56,1.34%
ETN,"Eaton Corp",33902400000,14.02,5.68,2145000000,1.44,2.84,3.52%
ETR,"Entergy Corp",22435976000,17.28,6.54,862560000,0.34,3.64,3.23%
EVRG,"Evergy Inc",15305355000,26.76,2.42,535800000,0.21,1.9,2.92%
EW,"Edwards Lifesciences Corp",46135840000,44.55,4.94,722200000,0.87,0,0.00%
EXC,"Exelon Corp",45917108000,15.96,2.93,2010000000,0.31,1.45,3.07%
EXPD,"Expeditors Intl",12138192000,19.76,3.62,618200000,0.9,1,1.41%
EXPE,"Expedia Group Inc",19466994000,24.76,5.25,406000000,1.08,1.36,1.05%
EXR,"Extra Space Storage Inc",15668790000,25.25,3.36,415290000,0.22,3.6,2.95%
F,"Ford Motor Company",36586860000,6.76,1.35,3677000000,1.13,0.6,6.54%
FANG,"Diamondback Energy",15991256000,16.51,5.97,845670000,0.82,0.75,0.76%
FAST,"Fastenal Company",17558426000,22.71,1.35,751900000,1.22,0.88,2.87%
FB,"Facebook Inc",529707200000,31.45,5.9,22112000000,0.99,0,0.00%
FBHS,"Fortune Brands Home & Security",7149370000,14.75,3.45,389600000,1.54,0.88,1.72%
FCX,"Freeport-Mcmoran Inc",13333679000,19.4,0.47,2602000000,2.34,0.2,2.18%
FDX,"Fedex Corp",41366760000,10.14,15.53,540000000,1.65,2.6,1.64%
FE,"Firstenergy Corp",24839402000,17.81,2.58,1348000000,0.27,1.52,3.30%
FFIV,"F5 Networks Inc",7740535000,14.76,8.68,453690000,1.05,0,0.00%
FIS,"Fidelity National Information Services",44128332000,21.63,6.35,846000000,0.64,1.4,1.03%
FISV,"Fiserv Inc",42024532000,33.12,3.25,1187000000,0.8,0,0.00%
FITB,"Fifth Third Bncp",19321356000,9.85,2.67,2193000000,1.32,0.96,3.63%
FLIR,"Flir Systems Inc",6681308000,21.62,2.28,282430000,1.17,0.68,1.38%
FLS,"Flowserve Corp",5598335000,20.85,2.02,119670000,1.63,0.76,1.78%
FLT,"Fleetcor Technologies",25831890000,28.81,10.39,811480000,1.16,0,0.00%
FMC,"FMC Corp",11260280000,14.14,6.05,502100000,1.49,1.6,1.85%
FOX,"Fox Corp Cl B",20355908000,0,1.38,1595000000,N/A,0.46,1.40%
FOXA,"Fox Corp Cl A",20585532000,0,1.38,1595000000,N/A,0.46,1.39%
FRC,"First Republic Bank",15088750000,18.06,4.98,853830000,0.85,0.76,0.85%
FRT,"Federal Realty Investment Trust",9684807000,20.52,3.36,241910000,0.45,4.08,3.16%
FTI,"Technipfmc Plc",11129885000,36.85,0.67,-1921600000,1.47,0,0.00%
FTNT,"Fortinet Inc",13539067000,55.69,1.4,332200000,1.08,0,0.00%
FTV,"Fortive Corp",23789290000,21.04,3.36,2913800000,1.19,0.28,0.39%
GD,"General Dynamics Corp",55247192000,16.78,11.29,3345000000,1.21,4.08,2.13%
GE,"General Electric Company",71998336000,13.08,0.62,-22354000000,1.03,0.04,0.48%
GILD,"Gilead Sciences Inc",80470552000,9.91,6.43,5455000000,1.16,2.52,3.97%
GIS,"General Mills",32467816000,16.57,3.22,1752700000,0.77,1.96,3.64%
GL,"Globe Life Inc.",9738444000,13.63,6.46,701470000,0.95,0.69,0.77%
GLW,"Corning Inc",21747120000,14.22,1.95,1066000000,1.16,0.8,2.87%
GM,"General Motors Company",52954468000,5.81,6.35,8014000000,1.39,1.52,4.10%
GOOG,"Alphabet Cl C",823824896000,22.97,51.94,30736000000,0.96,0,0.00%
GOOGL,"Alphabet Cl A",825509888000,22.99,51.94,30736000000,0.97,0,0.00%
GPC,"Genuine Parts Company",13189383000,15.77,5.68,810470000,0.92,3.05,3.38%
GPN,"Global Payments Inc",26005412000,30.84,5.37,452050000,1.01,0.04,0.02%
GPS,"Gap Inc",5968178000,6.98,2.28,1003000000,0.71,0.97,6.14%
GRMN,"Garmin Ltd",16157140000,20.7,3.91,694080000,0.91,2.28,2.80%
GS,"Goldman Sachs Group",73318696000,8.53,23.84,10459000000,1.32,5,2.45%
GWW,"W.W. Grainger",14933351000,15.8,17.3,782000000,0.92,5.76,2.10%
HAL,"Halliburton Company",16502559000,12.44,1.49,1656000000,1.3,0.72,3.82%
HAS,"Hasbro Inc",13941423000,25.92,4.25,220430000,1.04,2.72,2.46%
HBAN,"Huntington Bcshs",13751392000,10.41,1.27,1393000000,1.4,0.56,4.23%
HBI,"Hanesbrands Inc",4938678000,7.81,1.75,553080000,1.1,0.6,4.39%
HCA,"Hca Holdings Inc",40986156000,11.69,10.33,3787000000,0.85,1.6,1.33%
HCP,"HCP Inc",17046428000,19.86,2.04,1061090000,0.31,1.48,4.26%
HD,"Home Depot",249596320000,22.29,10.2,11121000000,1.12,5.44,2.39%
HES,"Hess Corp",19167078000,889.14,0.07,-282000000,1.97,1,1.59%
HFC,"Hollyfrontier Corp",7300681000,6.4,6.95,1097960000,1.45,1.32,2.98%
HIG,"Hartford Financial Services Group",21072940000,12.62,4.65,1807000000,0.67,1.2,2.06%
HII,"Huntington Ingalls Industries",8684366000,12.83,16.15,836000000,1.18,3.44,1.65%
HLT,"Hilton Inc",26496798000,27.06,3.42,764000000,1.09,0.6,0.65%
HOG,"Harley-Davidson Inc",4999751000,9.27,3.39,531450000,1.18,1.5,4.70%
HOLX,"Hologic Inc",13196897000,20.74,2.37,-111300000,0.74,0,0.00%
HON,"Honeywell International Inc",118445400000,20.55,7.96,6765000000,1.09,3.28,1.99%
HP,"Helmerich & Payne",4113624000,23.73,1.57,482670000,1.49,2.84,7.56%
HPE,"Hewlett Packard Enterprise Comp",18507040000,7.86,1.73,1908000000,1.58,0.45,3.26%
HPQ,"Hewlett-Packard Company",27550082000,8.34,2.17,5327000000,1.4,0.64,3.50%
HRB,"H&R Block",4899270000,11.13,2.19,422510000,0.24,1.04,4.29%
HRL,"Hormel Foods Corp",22825156000,23.85,1.78,1012140000,0.11,0.84,1.97%
HSIC,"Henry Schein Inc",9135720000,16.19,3.79,535880000,0.84,0,0.00%
HST,"Host Marriott Financial Trust",11707661000,8.83,1.48,1087000000,1.13,0.8,4.99%
HSY,"Hershey Foods Corp",33213922000,27.67,5.71,1177560000,0.09,3.09,1.95%
HUM,"Humana Inc",38258556000,15.74,17.76,1683000000,0.85,2.2,0.78%
IBM,"International Business Machines",120062640000,9.84,13.71,8728000000,1.28,6.48,4.78%
ICE,"Intercontinental Exchange",52387596000,25.42,3.65,1988000000,0.5,1.1,1.18%
IDXX,"Idexx Laboratories",24943712000,62.48,4.63,377030000,0.84,0,0.00%
IEX,"Idex Corp",12492760000,29.21,5.66,410570000,1.23,2,1.21%
IFF,"International Flavors & Fragrances",11718556000,19.32,5.63,337300000,0.75,2.92,2.66%
ILMN,"Illumina Inc",41356980000,49.23,5.79,826000000,1.1,0,0.00%
INCY,"Incyte Corp",17596782000,52.18,1.58,109490000,1.12,0,0.00%
INFO,"IHS Markit Ltd",26313152000,32.17,2.04,542300000,0.8,0,0.00%
INTC,"Intel Corp",210026304000,10.12,4.63,21053000000,0.88,1.26,2.66%
INTU,"Intuit Inc",74755312000,51.7,5.55,1557000000,1.1,1.88,0.65%
IP,"International Paper Company",15359887000,7.06,5.47,2012000000,1.49,2,5.12%
IPG,"Interpublic Group of Companies",7697993000,10.31,1.94,618900000,1.06,0.94,4.73%
IPGP,"Ipg Photonics Corp",6582437000,21.47,5.71,404030000,2.13,0,0.00%
IQV,"Iqvia Holdings Inc",30393108000,28.31,5.51,259000000,0.88,0,0.00%
IR,"Ingersoll-Rand Plc [Ireland]",29252558000,19.86,6.05,1337600000,1.24,2.12,1.75%
IRM,"Iron Mountain Inc",9144358000,14.94,1.23,363350000,0.59,2.44,7.67%
ISRG,"Intuitive Surg Inc",58933464000,51.23,9.92,1127900000,1.12,0,0.00%
IT,"Gartner Inc",12048613000,32.35,4.08,122460000,1.24,0,0.00%
ITW,"Illinois Tool Works Inc",48476412000,19.65,7.54,2563000000,1.23,4,2.67%
IVZ,"Invesco Plc",7375750000,6.76,2.31,882800000,1.51,1.24,7.90%
JBHT,"J B Hunt Transport",11535214000,18.75,5.7,489590000,1.14,1.04,0.96%
JCI,"Johnson Controls Intl",33968728000,19.73,2.16,2162000000,0.94,1.04,2.44%
JEC,"Jacobs Engineering Group Inc",12040352000,18.76,4.68,163430000,1.41,0.68,0.77%
JEF,"Jefferies Financial Group Inc",5592056000,0,1.1,1026790000,1.4,0.5,2.68%
JKHY,"Jack Henry & Assoc",11161921000,41.19,3.52,271890000,0.91,1.6,1.10%
JNJ,"Johnson & Johnson",338763360000,14.74,8.7,15297000000,0.69,3.8,2.96%
JNPR,"Juniper Networks",8009099000,17.16,1.35,566900000,0.92,0.76,3.28%
JPM,"JP Morgan Chase & CO",351275712000,11.42,9.56,32474000000,1.16,3.2,2.91%
JWN,Nordstrom,4480268000,8.88,3.28,564000000,0.66,1.48,5.11%
K,"Kellogg Company",21383212000,15.86,3.97,1336000000,0.61,2.24,3.57%
KEY,Keycorp,16654099000,9.29,1.77,1866000000,1.24,0.74,4.46%
KEYS,"Keysight Technologies Inc Comm",18226244000,23.91,4.05,165000000,1.31,0,0.00%
KHC,"Kraft Heinz CO",31134170000,0,2.4,-10192000000,0.74,1.6,6.27%
KIM,"Kimco Realty Corp",7758142000,12.8,0.8,497800000,0.59,1.12,6.09%
KLAC,"K L A-Tencor Corp",23553960000,17.26,8.48,1175620000,1.73,3,2.03%
KMB,"Kimberly-Clark Corp",48561028000,21.36,6.64,1410000000,0.56,4.12,2.92%
KMI,"Kinder Morgan",45887328000,21.94,0.93,1609000000,0.86,1,4.93%
KMX,"Carmax Inc",13790000000,16.39,5.05,842410000,1.2,0,0.00%
KO,"Coca-Cola Company",235352528000,25.97,2.12,6434000000,0.48,1.6,2.91%
KR,"Kroger Company",18915560000,11.33,2.09,3110000000,0.62,0.64,2.70%
KSS,"Kohl's Corp",7657349000,8.78,5.38,801000000,1,2.68,5.67%
KSU,"Kansas City Southern",12569182000,19.74,6.31,627400000,0.94,1.44,1.14%
L,"Loews Corp",14535407000,14.44,3.33,636000000,0.64,0.25,0.52%
LB,"L Brands Inc",4543767000,6.2,2.68,644000000,0.69,1.2,7.27%
LDOS,"Leidos Holdings Inc",12563066000,19.25,4.53,582000000,1.56,1.28,1.47%
LEG,"Leggett & Platt Inc",4889369000,15.4,2.42,305900000,1.08,1.6,4.30%
LEN,"Lennar Corp",16429446000,9.48,5.4,1695830000,1.14,0.16,0.31%
LH,"Laboratory Corp of America Holdings",16370610000,15.53,10.81,883700000,1.05,0,0.00%
LHX,"L3Harris Technologies Inc.",47203840000,25.73,8.29,949000000,0.95,2.74,1.30%
LIN,"Linde Plc",102938944000,0,3.52,4381000000,0.76,0,0.00%
LKQ,"LKQ Corp",8096545000,11.64,2.25,480120000,1.33,0,0.00%
LLY,"Eli Lilly and Company",109064968000,20.23,5.55,3232000000,0.19,2.58,2.28%
LMT,"Lockheed Martin Corp",108471512000,18.73,20.52,5046000000,0.97,8.8,2.29%
LNC,"Lincoln National Corp",10586206000,5.87,8.99,1641000000,1.91,1.48,2.80%
LNT,"Alliant Energy Corp",12457976000,24.55,2.14,522300000,0.29,1.42,2.71%
LOW,"Lowe's Companies",87843288000,21.61,5.21,2314000000,1.36,2.2,1.96%
LRCX,"Lam Research Corp",30425642000,14.27,14.55,2191430000,1.61,4.4,2.09%
LUV,"Southwest Airlines Company",28122890000,12.11,4.32,2465000000,1.5,0.72,1.38%
LW,"Lamb Weston Holdings Inc",10253992000,21.71,3.22,467800000,0.19,0.8,1.14%
LYB,"Lyondellbasell Industries NV",25941334000,7.72,9.76,4690000000,1.31,4.2,5.43%
M,"Macy's Inc",4558951000,4.01,3.72,1108000000,0.55,1.51,10.23%
MA,"Mastercard Inc",285466176000,40.2,7,5859000000,1.08,1.32,0.47%
MAA,"Mid-America Apartment Communities",14447093000,20.47,2.07,222900000,0.39,3.84,3.03%
MAC,"Macerich Company",4030290000,7.48,0.76,60020000,0.73,3,10.52%
MAR,"Marriot Int Cl A",41518996000,20.58,6.11,1907000000,1.27,1.92,1.52%
MAS,"Masco Corp",11789542000,15.74,2.61,734000000,1.44,0.48,1.18%
MCD,"McDonald's Corp",165536000000,28.13,7.84,5924300000,0.49,4.64,2.13%
MCHP,"Microchip Technology",20550340000,14.93,5.8,355900000,1.41,1.46,1.70%
MCK,"Mckesson Corp",25566678000,9.85,14,34000000,1.13,1.56,1.13%
MCO,"Moody's Corp",40787736000,29,7.46,1309600000,1.26,2,0.93%
MDLZ,"Mondelez Intl Inc",79635528000,22.38,2.47,3381000000,0.82,1.04,1.88%
